# d,G,gamma
1.807452481856138547e+03,1.735595466956919505e-02,1.129999999999999955e-04
1.571093311151874559e+03,2.313051951316192137e-02,1.299999999999999886e-04
1.361614202998291148e+03,2.953415706317955025e-02,1.499999999999999869e-04
1.187454246800835108e+03,3.636524145217820414e-02,1.720000000000000066e-04
1.031525911362341958e+03,4.335762653513196979e-02,1.979999999999999881e-04
8.997450680605447815e+02,5.022097106292165020e-02,2.269999999999999882e-04
7.825368982748800590e+02,5.662460861293927561e-02,2.610000000000000015e-04
6.808071014991455741e+02,6.221367765848363068e-02,2.999999999999999737e-04
5.920061752166483302e+02,6.664944674224898558e-02,3.449999999999999833e-04
5.144638046593039462e+02,6.960931447632515146e-02,3.970000000000000005e-04
4.469193226471415414e+02,7.084326478508169711e-02,4.569999999999999952e-04
3.890326294280832258e+02,7.015773683577250508e-02,5.249999999999999676e-04
3.381492225989133544e+02,6.750434042021104253e-02,6.040000000000000447e-04
2.942970179391119245e+02,6.292340071188609607e-02,6.939999999999999555e-04
2.559425193605810591e+02,5.664880371703253509e-02,7.979999999999999897e-04
2.227286046343987778e+02,4.902734592765387034e-02,9.169999999999999549e-04
1.945163147140416129e+02,4.057518956440642199e-02,1.049999999999999935e-03
1.687951491320195885e+02,3.186495209083080316e-02,1.209999999999999921e-03
1.469367844962184506e+02,2.351764117865417017e-02,1.389999999999999960e-03
1.276513315310898093e+02,1.612200436081264940e-02,1.600000000000000077e-03
1.110011578531215548e+02,1.010548847628726758e-02,1.840000000000000056e-03
9.634062757063381355e+01,5.760854284606541607e-03,2.119999999999999923e-03
8.370579116792774244e+01,3.036485563704833471e-03,2.439999999999999895e-03
7.294361801776560128e+01,1.719465397561409023e-03,2.799999999999999972e-03
6.342923305892659158e+01,1.326698207780730625e-03,3.220000000000000206e-03
5.520057579722801933e+01,1.319439676552751047e-03,3.700000000000000164e-03
4.794416207740461999e+01,1.261371426728913770e-03,4.259999999999999898e-03
4.168206743872320175e+01,8.758627681762149505e-04,4.899999999999999842e-03
3.627746544400419992e+01,3.395379607754939926e-04,5.629999999999999588e-03
3.156756266611184714e+01,0.000000000000000000e+00,6.470000000000000057e-03
2.745189925399780506e+01,0.000000000000000000e+00,7.440000000000000432e-03
2.386006196842799554e+01,0.000000000000000000e+00,8.559999999999999901e-03
2.075631407009590035e+01,0.000000000000000000e+00,9.839999999999999789e-03
1.807452481856138959e+01,0.000000000000000000e+00,1.129999999999999928e-02
1.571093311151874694e+01,0.000000000000000000e+00,1.299999999999999940e-02
1.361614202998291212e+01,0.000000000000000000e+00,1.499999999999999944e-02
1.187454246800835200e+01,0.000000000000000000e+00,1.720000000000000001e-02
1.031525911362341574e+01,0.000000000000000000e+00,1.980000000000000163e-02
8.997450680605448170e+00,0.000000000000000000e+00,2.270000000000000143e-02
7.825368982748800661e+00,0.000000000000000000e+00,2.610000000000000167e-02
6.808071014991456060e+00,0.000000000000000000e+00,2.999999999999999889e-02
5.920061752166482449e+00,0.000000000000000000e+00,3.450000000000000289e-02
5.144638046593039249e+00,0.000000000000000000e+00,3.969999999999999918e-02
4.469193226471416480e+00,0.000000000000000000e+00,4.569999999999999757e-02
3.890326294280832098e+00,0.000000000000000000e+00,5.249999999999999806e-02
3.381492225989134237e+00,0.000000000000000000e+00,6.040000000000000230e-02
2.942970179391119157e+00,0.000000000000000000e+00,6.940000000000000335e-02
2.559425193605810556e+00,0.000000000000000000e+00,7.979999999999999594e-02
2.227286046343987636e+00,0.000000000000000000e+00,9.170000000000000373e-02
1.945163147140416049e+00,0.000000000000000000e+00,1.049999999999999961e-01
1.687951491320195618e+00,0.000000000000000000e+00,1.209999999999999964e-01
1.469367844962184755e+00,0.000000000000000000e+00,1.390000000000000124e-01
1.276513315310898067e+00,0.000000000000000000e+00,1.600000000000000033e-01
1.110011578531215459e+00,0.000000000000000000e+00,1.839999999999999969e-01
9.634062757063382998e-01,0.000000000000000000e+00,2.119999999999999940e-01
8.370579116792773444e-01,0.000000000000000000e+00,2.439999999999999947e-01
7.294361801776558796e-01,0.000000000000000000e+00,2.800000000000000266e-01
6.342923305892660402e-01,0.000000000000000000e+00,3.220000000000000084e-01
5.520057579722801311e-01,0.000000000000000000e+00,3.699999999999999956e-01
4.794416207740461733e-01,0.000000000000000000e+00,4.259999999999999898e-01
4.168206743872319708e-01,6.386700977152345133e-05,4.899999999999999911e-01
