# d,G,gamma
4.168206743872320512e+05,0.000000000000000000e+00,4.899999999999999672e-07
3.627746544400420389e+05,0.000000000000000000e+00,5.630000000000000518e-07
3.156756266611185274e+05,0.000000000000000000e+00,6.470000000000000099e-07
2.745189925399780623e+05,0.000000000000000000e+00,7.439999999999999917e-07
2.386006196842800127e+05,0.000000000000000000e+00,8.560000000000000417e-07
2.075631407009590184e+05,0.000000000000000000e+00,9.840000000000000232e-07
1.807452481856138620e+05,0.000000000000000000e+00,1.129999999999999981e-06
1.571093311151874659e+05,0.000000000000000000e+00,1.300000000000000047e-06
1.361614202998291003e+05,0.000000000000000000e+00,1.500000000000000038e-06
1.187454246800835099e+05,0.000000000000000000e+00,1.720000000000000049e-06
1.031525911362341867e+05,0.000000000000000000e+00,1.980000000000000101e-06
8.997450680605447269e+04,0.000000000000000000e+00,2.269999999999999866e-06
7.825368982748800772e+04,0.000000000000000000e+00,2.609999999999999998e-06
6.808071014991455013e+04,0.000000000000000000e+00,3.000000000000000076e-06
5.920061752166483348e+04,0.000000000000000000e+00,3.450000000000000003e-06
5.144638046593039326e+04,0.000000000000000000e+00,3.970000000000000106e-06
4.469193226471415255e+04,0.000000000000000000e+00,4.570000000000000291e-06
3.890326294280831644e+04,0.000000000000000000e+00,5.249999999999999709e-06
3.381492225989133294e+04,0.000000000000000000e+00,6.039999999999999769e-06
2.942970179391119382e+04,0.000000000000000000e+00,6.939999999999999622e-06
2.559425193605810273e+04,0.000000000000000000e+00,7.979999999999999829e-06
2.227286046343987255e+04,0.000000000000000000e+00,9.170000000000000294e-06
1.945163147140415822e+04,0.000000000000000000e+00,1.049999999999999942e-05
1.687951491320195782e+04,0.000000000000000000e+00,1.209999999999999935e-05
1.469367844962184608e+04,0.000000000000000000e+00,1.390000000000000075e-05
1.276513315310897997e+04,0.000000000000000000e+00,1.599999999999999928e-05
1.110011578531215673e+04,0.000000000000000000e+00,1.840000000000000001e-05
9.634062757063380559e+03,0.000000000000000000e+00,2.120000000000000031e-05
8.370579116792774585e+03,0.000000000000000000e+00,2.440000000000000017e-05
7.294361801776559332e+03,0.000000000000000000e+00,2.799999999999999958e-05
6.342923305892660210e+03,0.000000000000000000e+00,3.219999999999999664e-05
5.520057579722802075e+03,0.000000000000000000e+00,3.699999999999999811e-05
4.794416207740461687e+03,3.547002260072737841e-05,4.259999999999999871e-05
4.168206743872320658e+03,3.581681909273085399e-04,4.899999999999999842e-05
3.627746544400420134e+03,1.193625135267769883e-03,5.629999999999999968e-05
3.156756266611184856e+03,2.707432148036421297e-03,6.470000000000000057e-05
2.745189925399779895e+03,5.035807665278347819e-03,7.440000000000000595e-05
2.386006196842800364e+03,8.242465461105817626e-03,8.559999999999999359e-05
2.075631407009589566e+03,1.237176322635648133e-02,9.840000000000000656e-05
