# d,G,gamma
2.063529304056581168e+05,0.000000000000000000e+00,6.959999999999999854e-07
1.793029208019201760e+05,0.000000000000000000e+00,8.010000000000000389e-07
1.561104777851500548e+05,0.000000000000000000e+00,9.199999999999999795e-07
1.354921127946585475e+05,0.000000000000000000e+00,1.060000000000000016e-06
1.177226553789656318e+05,0.000000000000000000e+00,1.219999999999999966e-06
1.025868854016700352e+05,0.000000000000000000e+00,1.399999999999999937e-06
8.920598730580003757e+04,0.000000000000000000e+00,1.610000000000000044e-06
7.763331868234489230e+04,0.000000000000000000e+00,1.850000000000000075e-06
6.742799979452490516e+04,0.000000000000000000e+00,2.129999999999999935e-06
5.886132768948281591e+04,0.000000000000000000e+00,2.439999999999999932e-06
5.111090375883916568e+04,0.000000000000000000e+00,2.810000000000000201e-06
4.446490388926875312e+04,0.000000000000000000e+00,3.229999999999999991e-06
3.860796762428442162e+04,0.000000000000000000e+00,3.719999999999999959e-06
3.363504439399017429e+04,0.000000000000000000e+00,4.269999999999999775e-06
2.925084308805256296e+04,0.000000000000000000e+00,4.909999999999999577e-06
2.541975921457310324e+04,0.000000000000000000e+00,5.650000000000000115e-06
2.212968252116148869e+04,0.000000000000000000e+00,6.489999999999999696e-06
1.922645777273601925e+04,0.000000000000000000e+00,7.469999999999999630e-06
1.673911883010933525e+04,0.000000000000000000e+00,8.579999999999999167e-06
1.455133126264822931e+04,0.000000000000000000e+00,9.870000000000000369e-06
1.270987960728655162e+04,0.000000000000000000e+00,1.130000000000000023e-05
1.104781842787215828e+04,0.000000000000000000e+00,1.299999999999999920e-05
9.574775970822536692e+03,0.000000000000000000e+00,1.500000000000000038e-05
8.350095323391746206e+03,0.000000000000000000e+00,1.720000000000000134e-05
7.253618159714042122e+03,0.000000000000000000e+00,1.980000000000000016e-05
6.299194717646405479e+03,0.000000000000000000e+00,2.279999999999999854e-05
5.481741968028170049e+03,0.000000000000000000e+00,2.619999999999999987e-05
4.771483041938141469e+03,0.000000000000000000e+00,3.009999999999999980e-05
4.138952148770548774e+03,0.000000000000000000e+00,3.470000000000000319e-05
3.608583908601459370e+03,0.000000000000000000e+00,3.979999999999999841e-05
3.135843658566333033e+03,0.000000000000000000e+00,4.580000000000000195e-05
2.725268302890665382e+03,0.000000000000000000e+00,5.270000000000000026e-05
2.369994052183796157e+03,0.000000000000000000e+00,6.060000000000000255e-05
2.063529304056581168e+03,0.000000000000000000e+00,6.959999999999999770e-05
1.793029208019201633e+03,0.000000000000000000e+00,8.009999999999999542e-05
1.561104777851500330e+03,0.000000000000000000e+00,9.200000000000000007e-05
1.354921127946585557e+03,0.000000000000000000e+00,1.060000000000000016e-04
1.177226553789656009e+03,0.000000000000000000e+00,1.219999999999999974e-04
1.025868854016700652e+03,0.000000000000000000e+00,1.399999999999999877e-04
8.920598730580003348e+02,0.000000000000000000e+00,1.610000000000000103e-04
7.763331868234489548e+02,5.631865402146600530e-03,1.849999999999999973e-04
6.742799979452489652e+02,3.378303366747086728e-02,2.130000000000000003e-04
5.886132768948280045e+02,8.426818472168857987e-02,2.439999999999999949e-04
5.111090375883916863e+02,1.382907346781238056e-01,2.809999999999999998e-04
4.446490388926874857e+02,1.750633657703682677e-01,3.229999999999999907e-04
3.860796762428441866e+02,1.819982993677962957e-01,3.719999999999999891e-04
3.363504439399017656e+02,1.544333952368428520e-01,4.270000000000000249e-04
2.925084308805255660e+02,1.048981552552140095e-01,4.910000000000000085e-04
2.541975921457311074e+02,5.144671747739051199e-02,5.649999999999999641e-04
2.212968252116148733e+02,1.261691700708546249e-02,6.489999999999999459e-04
1.922645777273601482e+02,0.000000000000000000e+00,7.470000000000000511e-04
1.673911883010933082e+02,0.000000000000000000e+00,8.580000000000000387e-04
1.455133126264823318e+02,1.133482844285506851e-02,9.870000000000000301e-04
1.270987960728655537e+02,2.190040374717190305e-02,1.129999999999999928e-03
1.104781842787215851e+02,1.844459229904179751e-02,1.299999999999999940e-03
9.574775970822535953e+01,5.845158317832202868e-03,1.500000000000000031e-03
8.350095323391747115e+01,0.000000000000000000e+00,1.719999999999999958e-03
7.253618159714042690e+01,0.000000000000000000e+00,1.979999999999999989e-03
6.299194717646406616e+01,0.000000000000000000e+00,2.279999999999999909e-03
5.481741968028170220e+01,0.000000000000000000e+00,2.619999999999999933e-03
4.771483041938140701e+01,0.000000000000000000e+00,3.010000000000000089e-03
4.138952148770549400e+01,0.000000000000000000e+00,3.469999999999999994e-03
3.608583908601458745e+01,0.000000000000000000e+00,3.980000000000000031e-03
3.135843658566333048e+01,0.000000000000000000e+00,4.579999999999999870e-03
2.725268302890665240e+01,0.000000000000000000e+00,5.270000000000000379e-03
2.369994052183796285e+01,0.000000000000000000e+00,6.060000000000000282e-03
2.063529304056581637e+01,0.000000000000000000e+00,6.960000000000000041e-03
1.793029208019201803e+01,2.378274286647380018e-05,8.009999999999999759e-03
1.561104777851500636e+01,0.000000000000000000e+00,9.199999999999999845e-03
1.354921127946585457e+01,0.000000000000000000e+00,1.060000000000000005e-02
1.177226553789656016e+01,0.000000000000000000e+00,1.220000000000000077e-02
1.025868854016700382e+01,0.000000000000000000e+00,1.400000000000000029e-02
8.920598730580003632e+00,0.000000000000000000e+00,1.609999999999999973e-02
7.763331868234490507e+00,0.000000000000000000e+00,1.849999999999999908e-02
6.742799979452491321e+00,0.000000000000000000e+00,2.129999999999999949e-02
5.886132768948280081e+00,0.000000000000000000e+00,2.440000000000000155e-02
5.111090375883916792e+00,0.000000000000000000e+00,2.809999999999999998e-02
4.446490388926874537e+00,0.000000000000000000e+00,3.230000000000000232e-02
3.860796762428443163e+00,0.000000000000000000e+00,3.719999999999999696e-02
3.363504439399017887e+00,0.000000000000000000e+00,4.270000000000000184e-02
2.925084308805256050e+00,0.000000000000000000e+00,4.909999999999999781e-02
2.541975921457310772e+00,0.000000000000000000e+00,5.650000000000000161e-02
2.212968252116148893e+00,0.000000000000000000e+00,6.489999999999999936e-02
1.922645777273601864e+00,0.000000000000000000e+00,7.470000000000000251e-02
1.673911883010933188e+00,0.000000000000000000e+00,8.580000000000000127e-02
1.455133126264823495e+00,0.000000000000000000e+00,9.869999999999999607e-02
1.270987960728655386e+00,0.000000000000000000e+00,1.130000000000000032e-01
1.104781842787215806e+00,0.000000000000000000e+00,1.300000000000000044e-01
9.574775970822536619e-01,0.000000000000000000e+00,1.499999999999999944e-01
8.350095323391747426e-01,0.000000000000000000e+00,1.719999999999999862e-01
7.253618159714043667e-01,7.657565333630621631e-06,1.980000000000000093e-01
6.299194717646405817e-01,0.000000000000000000e+00,2.280000000000000082e-01
5.481741968028169820e-01,0.000000000000000000e+00,2.620000000000000107e-01
4.771483041938141545e-01,0.000000000000000000e+00,3.009999999999999898e-01
4.138952148770549400e-01,0.000000000000000000e+00,3.469999999999999751e-01
3.608583908601458723e-01,0.000000000000000000e+00,3.980000000000000204e-01
3.135843658566332959e-01,0.000000000000000000e+00,4.580000000000000182e-01
2.725268302890665462e-01,0.000000000000000000e+00,5.270000000000000240e-01
2.369994052183796163e-01,0.000000000000000000e+00,6.059999999999999831e-01
2.063529304056581359e-01,1.290830077168327954e-05,6.959999999999999520e-01
