# d,G,gamma
2.707387052578283004e+01,2.775986257824419727e-04,2.289999999999999935e-03
2.357382642739264966e+01,0.000000000000000000e+00,2.629999999999999959e-03
2.052952433908697571e+01,0.000000000000000000e+00,3.020000000000000115e-03
1.786719409338405740e+01,0.000000000000000000e+00,3.469999999999999994e-03
1.549979087601066929e+01,0.000000000000000000e+00,4.000000000000000083e-03
1.350744302920319662e+01,0.000000000000000000e+00,4.590000000000000330e-03
1.174226581515959822e+01,0.000000000000000000e+00,5.279999999999999971e-03
1.021403023130851295e+01,0.000000000000000000e+00,6.069999999999999875e-03
8.882401648143650519e+00,0.000000000000000000e+00,6.980000000000000093e-03
7.720941905858365928e+00,0.000000000000000000e+00,8.030000000000000679e-03
6.717135807588588747e+00,0.000000000000000000e+00,9.230000000000000357e-03
5.848977689060629537e+00,0.000000000000000000e+00,1.060000000000000005e-02
5.081898647872349351e+00,0.000000000000000000e+00,1.220000000000000077e-02
4.428511678860190592e+00,0.000000000000000000e+00,1.400000000000000029e-02
3.850879720747991897e+00,0.000000000000000000e+00,1.609999999999999973e-02
3.351306135353658178e+00,0.000000000000000000e+00,1.849999999999999908e-02
2.910758849955055183e+00,0.000000000000000000e+00,2.129999999999999949e-02
2.530578102205823132e+00,0.000000000000000000e+00,2.450000000000000094e-02
2.198551897306477709e+00,0.000000000000000000e+00,2.819999999999999937e-02
1.913554429137119817e+00,0.000000000000000000e+00,3.239999999999999825e-02
1.662175965255835663e+00,0.000000000000000000e+00,3.729999999999999982e-02
1.448578586543053159e+00,0.000000000000000000e+00,4.279999999999999777e-02
1.257589523408573662e+00,0.000000000000000000e+00,4.929999999999999660e-02
1.095391581343510223e+00,0.000000000000000000e+00,5.659999999999999754e-02
9.523681029806863041e-01,0.000000000000000000e+00,6.510000000000000508e-02
8.277591923103160276e-01,0.000000000000000000e+00,7.489999999999999436e-02
7.200831998146651758e-01,0.000000000000000000e+00,8.609999999999999598e-02
6.262541768085118088e-01,0.000000000000000000e+00,9.900000000000000466e-02
5.438523114389707258e-01,0.000000000000000000e+00,1.140000000000000041e-01
4.732760572827683920e-01,0.000000000000000000e+00,1.310000000000000053e-01
4.133277566936178204e-01,0.000000000000000000e+00,1.499999999999999944e-01
3.583766676534258511e-01,0.000000000000000000e+00,1.729999999999999871e-01
3.115535854474505983e-01,0.000000000000000000e+00,1.990000000000000102e-01
2.707387052578282272e-01,0.000000000000000000e+00,2.290000000000000091e-01
2.357382642739265233e-01,0.000000000000000000e+00,2.630000000000000115e-01
2.052952433908697971e-01,0.000000000000000000e+00,3.019999999999999907e-01
1.786719409338405617e-01,0.000000000000000000e+00,3.469999999999999751e-01
1.549979087601066896e-01,0.000000000000000000e+00,4.000000000000000222e-01
1.350744302920319495e-01,0.000000000000000000e+00,4.590000000000000191e-01
1.174226581515959711e-01,0.000000000000000000e+00,5.280000000000000249e-01
1.021403023130851295e-01,0.000000000000000000e+00,6.069999999999999840e-01
8.882401648143649353e-02,0.000000000000000000e+00,6.979999999999999538e-01
7.720941905858365317e-02,0.000000000000000000e+00,8.030000000000000471e-01
6.717135807588588137e-02,0.000000000000000000e+00,9.230000000000000426e-01
5.848977689060629037e-02,0.000000000000000000e+00,1.060000000000000053e+00
5.081898647872350183e-02,0.000000000000000000e+00,1.219999999999999973e+00
4.428511678860190537e-02,0.000000000000000000e+00,1.399999999999999911e+00
3.850879720747991258e-02,0.000000000000000000e+00,1.610000000000000098e+00
