# d,G,gamma
7.473895109862527306e+02,0.000000000000000000e+00,1.530000000000000056e-04
6.497192908005492882e+02,1.680702615781287570e-03,1.759999999999999954e-04
5.660920553509736237e+02,4.355740386338686349e-02,2.020000000000000040e-04
4.928904964693822421e+02,1.243839624169005564e-01,2.320000000000000014e-04
4.282793826999875932e+02,2.025037197157459612e-01,2.669999999999999847e-04
3.724775087325625123e+02,2.350958164556296026e-01,3.069999999999999812e-04
3.239393631186874813e+02,2.075214295245698393e-01,3.530000000000000152e-04
2.816517122682183754e+02,1.274682427581042277e-01,4.060000000000000024e-04
2.448620881817915631e+02,4.159635397480064556e-02,4.670000000000000214e-04
2.129433802251334669e+02,0.000000000000000000e+00,5.370000000000000424e-04
1.853332174730902295e+02,0.000000000000000000e+00,6.170000000000000354e-04
1.612843373496427262e+02,0.000000000000000000e+00,7.089999999999999948e-04
1.401355333099224083e+02,0.000000000000000000e+00,8.159999999999999936e-04
1.219089500862437916e+02,0.000000000000000000e+00,9.380000000000000317e-04
1.058801807230524901e+02,3.385342929733111740e-04,1.080000000000000014e-03
9.221822192007797980e+01,1.064767228239419002e-02,1.240000000000000000e-03
7.996545117545221615e+01,5.201845948597247707e-03,1.430000000000000064e-03
6.972597267127846976e+01,0.000000000000000000e+00,1.639999999999999965e-03
6.082478467068973060e+01,0.000000000000000000e+00,1.879999999999999944e-03
5.269612681147312117e+01,0.000000000000000000e+00,2.170000000000000054e-03
4.592393380758902310e+01,0.000000000000000000e+00,2.490000000000000026e-03
3.998272558772610807e+01,0.000000000000000000e+00,2.860000000000000129e-03
3.475701981182269407e+01,0.000000000000000000e+00,3.289999999999999956e-03
3.017166099759807452e+01,0.000000000000000000e+00,3.789999999999999966e-03
2.628749314503372148e+01,0.000000000000000000e+00,4.349999999999999700e-03
2.287011903617933584e+01,0.000000000000000000e+00,5.000000000000000104e-03
1.988706003146029389e+01,0.000000000000000000e+00,5.749999999999999903e-03
1.727350380376082839e+01,0.000000000000000000e+00,6.620000000000000016e-03
1.502635941930311425e+01,0.000000000000000000e+00,7.609999999999999577e-03
1.308359212596071863e+01,0.000000000000000000e+00,8.739999999999999505e-03
1.132184110701947333e+01,0.000000000000000000e+00,1.009999999999999960e-02
9.857809929387643777e+00,0.000000000000000000e+00,1.159999999999999920e-02
8.597789111345615964e+00,0.000000000000000000e+00,1.329999999999999932e-02
7.473895109862527697e+00,0.000000000000000000e+00,1.529999999999999936e-02
6.497192908005493095e+00,0.000000000000000000e+00,1.760000000000000106e-02
5.660920553509736664e+00,0.000000000000000000e+00,2.019999999999999921e-02
4.928904964693821888e+00,0.000000000000000000e+00,2.319999999999999840e-02
4.282793826999875542e+00,0.000000000000000000e+00,2.670000000000000151e-02
3.724775087325624234e+00,0.000000000000000000e+00,3.070000000000000159e-02
3.239393631186875400e+00,0.000000000000000000e+00,3.529999999999999805e-02
2.816517122682184127e+00,0.000000000000000000e+00,4.059999999999999720e-02
2.448620881817916484e+00,0.000000000000000000e+00,4.669999999999999846e-02
2.129433802251334829e+00,0.000000000000000000e+00,5.369999999999999774e-02
1.853332174730902615e+00,0.000000000000000000e+00,6.169999999999999790e-02
1.612843373496426924e+00,0.000000000000000000e+00,7.090000000000000469e-02
1.401355333099223888e+00,0.000000000000000000e+00,8.160000000000000586e-02
1.219089500862438058e+00,0.000000000000000000e+00,9.379999999999999449e-02
1.058801807230524750e+00,0.000000000000000000e+00,1.079999999999999988e-01
9.221822192007795849e-01,0.000000000000000000e+00,1.239999999999999991e-01
7.996545117545222903e-01,0.000000000000000000e+00,1.429999999999999882e-01
6.972597267127845777e-01,0.000000000000000000e+00,1.640000000000000069e-01
6.082478467068972439e-01,0.000000000000000000e+00,1.880000000000000004e-01
5.269612681147312072e-01,0.000000000000000000e+00,2.169999999999999984e-01
4.592393380758902910e-01,0.000000000000000000e+00,2.489999999999999991e-01
3.998272558772611451e-01,0.000000000000000000e+00,2.859999999999999765e-01
3.475701981182269251e-01,8.286126289800924631e-07,3.290000000000000147e-01
3.017166099759807096e-01,3.487538487307322635e-06,3.790000000000000036e-01
2.628749314503372458e-01,0.000000000000000000e+00,4.349999999999999978e-01
2.287011903617933717e-01,0.000000000000000000e+00,5.000000000000000000e-01
1.988706003146029633e-01,0.000000000000000000e+00,5.749999999999999556e-01
1.727350380376082573e-01,0.000000000000000000e+00,6.620000000000000329e-01
1.502635941930311192e-01,0.000000000000000000e+00,7.610000000000000098e-01
1.308359212596071908e-01,0.000000000000000000e+00,8.739999999999999991e-01
