# d,G,gamma
1.306863944924533280e+05,0.000000000000000000e+00,8.749999999999999869e-07
1.132184110701947357e+05,0.000000000000000000e+00,1.010000000000000071e-06
9.857809929387645388e+04,0.000000000000000000e+00,1.159999999999999905e-06
8.597789111345614947e+04,0.000000000000000000e+00,1.329999999999999972e-06
7.473895109862528625e+04,0.000000000000000000e+00,1.529999999999999963e-06
6.497192908005492791e+04,0.000000000000000000e+00,1.760000000000000090e-06
5.660920553509736783e+04,0.000000000000000000e+00,2.020000000000000142e-06
4.928904964693822694e+04,0.000000000000000000e+00,2.319999999999999810e-06
4.282793826999875455e+04,0.000000000000000000e+00,2.669999999999999847e-06
3.724775087325624918e+04,0.000000000000000000e+00,3.069999999999999829e-06
3.239393631186874700e+04,0.000000000000000000e+00,3.530000000000000084e-06
2.816517122682183981e+04,0.000000000000000000e+00,4.060000000000000092e-06
2.448620881817915870e+04,0.000000000000000000e+00,4.670000000000000180e-06
2.129433802251334782e+04,0.000000000000000000e+00,5.370000000000000255e-06
1.853332174730902261e+04,0.000000000000000000e+00,6.170000000000000218e-06
1.612843373496427193e+04,0.000000000000000000e+00,7.089999999999999880e-06
1.401355333099224117e+04,0.000000000000000000e+00,8.159999999999999800e-06
1.219089500862437853e+04,0.000000000000000000e+00,9.379999999999999978e-06
1.058801807230524901e+04,0.000000000000000000e+00,1.079999999999999993e-05
9.221822192007797639e+03,0.000000000000000000e+00,1.239999999999999986e-05
7.996545117545221729e+03,0.000000000000000000e+00,1.430000000000000031e-05
6.972597267127845953e+03,0.000000000000000000e+00,1.639999999999999883e-05
6.082478467068972350e+03,0.000000000000000000e+00,1.879999999999999957e-05
5.269612681147313197e+03,0.000000000000000000e+00,2.169999999999999891e-05
4.592393380758902822e+03,0.000000000000000000e+00,2.489999999999999877e-05
3.998272558772610864e+03,0.000000000000000000e+00,2.860000000000000061e-05
3.475701981182269719e+03,0.000000000000000000e+00,3.290000000000000010e-05
3.017166099759806912e+03,0.000000000000000000e+00,3.789999999999999966e-05
2.628749314503372261e+03,0.000000000000000000e+00,4.350000000000000026e-05
2.287011903617933513e+03,0.000000000000000000e+00,5.000000000000000240e-05
1.988706003146029161e+03,0.000000000000000000e+00,5.750000000000000174e-05
1.727350380376082967e+03,0.000000000000000000e+00,6.619999999999999637e-05
1.502635941930310764e+03,0.000000000000000000e+00,7.610000000000000661e-05
1.308359212596071757e+03,0.000000000000000000e+00,8.739999999999999668e-05
1.132184110701947247e+03,0.000000000000000000e+00,1.010000000000000020e-04
9.857809929387644843e+02,0.000000000000000000e+00,1.160000000000000007e-04
8.597789111345615538e+02,0.000000000000000000e+00,1.330000000000000073e-04
