# tau,g1,g1^2
1.399999999999999911e+00,9.995000000000000551e-01,9.990002500000001451e-01
1.600000000000000089e+00,9.993999999999999551e-01,9.988003599999999427e-01
2.000000000000000000e+00,9.991999999999999771e-01,9.984006399999999504e-01
2.399999999999999911e+00,9.990999999999999881e-01,9.982008099999999384e-01
5.000000000000000000e+00,9.982999999999999652e-01,9.966028899999999080e-01
1.000000000000000000e+01,9.969999999999999973e-01,9.940090000000000314e-01
1.500000000000000000e+01,9.957000000000000295e-01,9.914184900000000411e-01
2.000000000000000000e+01,9.942999999999999616e-01,9.886324899999999749e-01
2.500000000000000000e+01,9.929999999999999938e-01,9.860489999999999533e-01
3.000000000000000000e+01,9.917000000000000259e-01,9.834688900000000400e-01
3.500000000000000000e+01,9.903999999999999471e-01,9.808921599999999019e-01
4.000000000000000000e+01,9.890999999999999792e-01,9.783188099999999832e-01
4.500000000000000000e+01,9.878000000000000114e-01,9.757488400000000617e-01
5.000000000000000000e+01,9.865000000000000435e-01,9.731822500000001375e-01
5.500000000000000000e+01,9.851999999999999647e-01,9.706190399999998775e-01
6.000000000000000000e+01,9.838999999999999968e-01,9.680592099999999478e-01
6.500000000000000000e+01,9.826000000000000290e-01,9.655027600000000154e-01
7.000000000000000000e+01,9.812999999999999501e-01,9.629496899999998583e-01
7.500000000000000000e+01,9.799999999999999822e-01,9.603999999999999204e-01
8.000000000000000000e+01,9.787000000000000144e-01,9.578536899999999799e-01
8.500000000000000000e+01,9.774000000000000465e-01,9.553107600000000366e-01
9.000000000000000000e+01,9.760999999999999677e-01,9.527712099999999795e-01
9.500000000000000000e+01,9.747999999999999998e-01,9.502350400000000308e-01
1.000000000000000000e+02,9.736000000000000210e-01,9.478969600000000106e-01
1.050000000000000000e+02,9.723000000000000531e-01,9.453672900000000823e-01
1.100000000000000000e+02,9.709999999999999742e-01,9.428409999999999291e-01
1.150000000000000000e+02,9.697000000000000064e-01,9.403180899999999953e-01
1.200000000000000000e+02,9.685000000000000275e-01,9.379922500000000829e-01
1.250000000000000000e+02,9.671999999999999487e-01,9.354758399999999474e-01
1.350000000000000000e+02,9.647000000000000020e-01,9.306460899999999814e-01
1.400000000000000000e+02,9.634000000000000341e-01,9.281395600000000856e-01
1.500000000000000000e+02,9.608999999999999764e-01,9.233288099999999998e-01
1.550000000000000000e+02,9.596000000000000085e-01,9.208321600000000107e-01
1.650000000000000000e+02,9.570999999999999508e-01,9.160404099999999161e-01
1.750000000000000000e+02,9.546000000000000041e-01,9.112611600000000145e-01
1.850000000000000000e+02,9.522000000000000464e-01,9.066848400000000474e-01
1.950000000000000000e+02,9.496999999999999886e-01,9.019300900000000176e-01
2.050000000000000000e+02,9.472000000000000419e-01,8.971878400000000697e-01
2.150000000000000000e+02,9.447999999999999732e-01,8.926470399999999472e-01
