# tau,g1,g1^2
1.399999999999999911e+00,9.998000000000000220e-01,9.996000400000000230e-01
1.600000000000000089e+00,9.985000000000000542e-01,9.970022500000000898e-01
2.000000000000000000e+00,9.962999999999999634e-01,9.926136899999998819e-01
2.399999999999999911e+00,9.945000000000000506e-01,9.890302500000001107e-01
5.000000000000000000e+00,9.879999999999999893e-01,9.761440000000000117e-01
1.000000000000000000e+01,9.830999999999999739e-01,9.664856099999999950e-01
1.500000000000000000e+01,9.795000000000000373e-01,9.594202500000000855e-01
2.000000000000000000e+01,9.758999999999999897e-01,9.523808099999999666e-01
2.500000000000000000e+01,9.724000000000000421e-01,9.455617600000000289e-01
3.000000000000000000e+01,9.688999999999999835e-01,9.387672099999999631e-01
3.500000000000000000e+01,9.654000000000000359e-01,9.319971600000001022e-01
4.000000000000000000e+01,9.618999999999999773e-01,9.252516100000000021e-01
4.500000000000000000e+01,9.585000000000000187e-01,9.187222500000000736e-01
5.000000000000000000e+01,9.549999999999999600e-01,9.120249999999999746e-01
5.500000000000000000e+01,9.516000000000000014e-01,9.055425599999999964e-01
6.000000000000000000e+01,9.482000000000000428e-01,8.990832400000000613e-01
6.500000000000000000e+01,9.447999999999999732e-01,8.926470399999999472e-01
7.000000000000000000e+01,9.415000000000000036e-01,8.864222499999999672e-01
7.500000000000000000e+01,9.382000000000000339e-01,8.802192400000000694e-01
8.000000000000000000e+01,9.347999999999999643e-01,8.738510399999999123e-01
8.500000000000000000e+01,9.314999999999999947e-01,8.676922499999999427e-01
9.000000000000000000e+01,9.283000000000000140e-01,8.617408899999999816e-01
9.500000000000000000e+01,9.250000000000000444e-01,8.556250000000000799e-01
1.000000000000000000e+02,9.216999999999999638e-01,8.495308899999999275e-01
1.050000000000000000e+02,9.184999999999999831e-01,8.436422499999999269e-01
1.100000000000000000e+02,9.153000000000000025e-01,8.377740900000000268e-01
1.150000000000000000e+02,9.121000000000000218e-01,8.319264100000000051e-01
1.200000000000000000e+02,9.089000000000000412e-01,8.260992100000000837e-01
1.250000000000000000e+02,9.058000000000000496e-01,8.204736400000001151e-01
1.350000000000000000e+02,8.994999999999999662e-01,8.091002499999999653e-01
1.400000000000000000e+02,8.963999999999999746e-01,8.035329599999999628e-01
1.500000000000000000e+02,8.901999999999999913e-01,7.924560400000000282e-01
1.550000000000000000e+02,8.871999999999999886e-01,7.871238400000000190e-01
1.650000000000000000e+02,8.810999999999999943e-01,7.763372099999999998e-01
1.750000000000000000e+02,8.750999999999999890e-01,7.658000099999999755e-01
1.850000000000000000e+02,8.690999999999999837e-01,7.553348100000000231e-01
1.950000000000000000e+02,8.632999999999999563e-01,7.452868899999999242e-01
2.050000000000000000e+02,8.574000000000000510e-01,7.351347600000001092e-01
2.150000000000000000e+02,8.517000000000000126e-01,7.253928900000000679e-01
2.300000000000000000e+02,8.430999999999999606e-01,7.108176099999999886e-01
2.400000000000000000e+02,8.375000000000000222e-01,7.014062500000000089e-01
2.550000000000000000e+02,8.292000000000000481e-01,6.875726400000000682e-01
2.700000000000000000e+02,8.209999999999999520e-01,6.740409999999998902e-01
