# d,G,gamma
3.026289718042958993e+05,0.000000000000000000e+00,5.750000000000000004e-07
2.632551570158398827e+05,0.000000000000000000e+00,6.610000000000000029e-07
2.289627089308817522e+05,0.000000000000000000e+00,7.600000000000000291e-07
1.993260696305500169e+05,0.000000000000000000e+00,8.730000000000000484e-07
1.740116587874701654e+05,0.000000000000000000e+00,9.999999999999999547e-07
1.513144859021479497e+05,0.000000000000000000e+00,1.150000000000000001e-06
1.308358336747896246e+05,0.000000000000000000e+00,1.329999999999999972e-06
1.137331103186079417e+05,0.000000000000000000e+00,1.529999999999999963e-06
9.943523359284008620e+04,0.000000000000000000e+00,1.749999999999999974e-06
8.614438553835154744e+04,0.000000000000000000e+00,2.020000000000000142e-06
7.500502533942680748e+04,0.000000000000000000e+00,2.319999999999999810e-06
6.517290591291018063e+04,0.000000000000000000e+00,2.669999999999999847e-06
5.668132208060917765e+04,0.000000000000000000e+00,3.069999999999999829e-06
4.929508747520401084e+04,0.000000000000000000e+00,3.530000000000000084e-06
4.296584167591854930e+04,0.000000000000000000e+00,4.050000000000000187e-06
3.734155767971462046e+04,0.000000000000000000e+00,4.660000000000000276e-06
3.246486171408025984e+04,0.000000000000000000e+00,5.360000000000000350e-06
2.824864590705683804e+04,0.000000000000000000e+00,6.160000000000000314e-06
2.457791790783476608e+04,0.000000000000000000e+00,7.079999999999999976e-06
2.135112377760369782e+04,0.000000000000000000e+00,8.149999999999999896e-06
1.857114821637888599e+04,0.000000000000000000e+00,9.370000000000000074e-06
1.611219062846945963e+04,0.000000000000000000e+00,1.079999999999999993e-05
1.403319828931210759e+04,0.000000000000000000e+00,1.239999999999999986e-05
1.225434216813169951e+04,0.000000000000000000e+00,1.419999999999999957e-05
1.061046699923598499e+04,0.000000000000000000e+00,1.639999999999999883e-05
9.255939297205859475e+03,0.000000000000000000e+00,1.879999999999999957e-05
8.056095314234729813e+03,0.000000000000000000e+00,2.159999999999999987e-05
6.988420031625309093e+03,0.000000000000000000e+00,2.489999999999999877e-05
6.084323733827627620e+03,0.000000000000000000e+00,2.860000000000000061e-05
5.289108169831920350e+03,0.000000000000000000e+00,3.290000000000000010e-05
4.603483036705560153e+03,0.000000000000000000e+00,3.779999999999999723e-05
4.000268018102762198e+03,0.000000000000000000e+00,4.350000000000000026e-05
