# d,G,gamma
3.480233175749403017e+03,0.000000000000000000e+00,5.000000000000000240e-05
3.026289718042959066e+03,0.000000000000000000e+00,5.750000000000000174e-05
2.632551570158398590e+03,2.095810135270583506e-04,6.609999999999999394e-05
2.289627089308817631e+03,1.257486081162349778e-03,7.600000000000000418e-05
1.993260696305500687e+03,3.657205836702939316e-03,8.729999999999999425e-05
1.740116587874701509e+03,7.683493785607375601e-03,1.000000000000000048e-04
1.513144859021479533e+03,1.348727569866437458e-02,1.150000000000000035e-04
1.308358336747895919e+03,2.096496161501441163e-02,1.330000000000000073e-04
1.137331103186079417e+03,2.991760392770871982e-02,1.530000000000000056e-04
9.943523359284008620e+02,3.989928558668973113e-02,1.749999999999999982e-04
8.614438553835154835e+02,5.037490613188835148e-02,2.020000000000000040e-04
7.500502533942679975e+02,6.067902011937253287e-02,2.320000000000000014e-04
6.517290591291017563e+02,7.004327817058152161e-02,2.669999999999999847e-04
5.668132208060917492e+02,7.779537457927468425e-02,3.069999999999999812e-04
4.929508747520401357e+02,8.321498180305131331e-02,3.530000000000000152e-04
4.296584167591855703e+02,8.568467623413938972e-02,4.049999999999999781e-04
3.734155767971462296e+02,8.486144475711003554e-02,4.659999999999999971e-04
3.246486171408025143e+02,8.067668474887744468e-02,5.360000000000000181e-04
2.824864590705684009e+02,7.326760145561318771e-02,6.160000000000000111e-04
2.457791790783477097e+02,6.327219927201502281e-02,7.079999999999999705e-04
2.135112377760370066e+02,5.143138652740937566e-02,8.149999999999999693e-04
1.857114821637888440e+02,3.889768728963734212e-02,9.370000000000000074e-04
1.611219062846945747e+02,2.685792693808292456e-02,1.080000000000000014e-03
1.403319828931210793e+02,1.640974744211860792e-02,1.240000000000000000e-03
1.225434216813170281e+02,8.493004738019581390e-03,1.420000000000000038e-03
1.061046699923598311e+02,3.408178314901557510e-03,1.639999999999999965e-03
9.255939297205858907e+01,1.105188257911917955e-03,1.879999999999999944e-03
8.056095314234728733e+01,7.868720867938982242e-04,2.160000000000000028e-03
6.988420031625307161e+01,1.415272114259644252e-03,2.490000000000000026e-03
6.084323733827627478e+01,1.935966023480715538e-03,2.860000000000000129e-03
5.289108169831919781e+01,1.590208803128383532e-03,3.289999999999999956e-03
4.603483036705559783e+01,6.812240472417967598e-04,3.779999999999999940e-03
4.000268018102762824e+01,0.000000000000000000e+00,4.349999999999999700e-03
3.480233175749403074e+01,0.000000000000000000e+00,5.000000000000000104e-03
3.026289718042959009e+01,0.000000000000000000e+00,5.749999999999999903e-03
2.632551570158398846e+01,0.000000000000000000e+00,6.610000000000000424e-03
2.289627089308817887e+01,0.000000000000000000e+00,7.599999999999999985e-03
1.993260696305500090e+01,0.000000000000000000e+00,8.729999999999999913e-03
1.740116587874701537e+01,0.000000000000000000e+00,1.000000000000000021e-02
1.513144859021479505e+01,0.000000000000000000e+00,1.149999999999999981e-02
1.308358336747896011e+01,0.000000000000000000e+00,1.329999999999999932e-02
1.137331103186079595e+01,0.000000000000000000e+00,1.529999999999999936e-02
9.943523359284007768e+00,0.000000000000000000e+00,1.750000000000000167e-02
8.614438553835155332e+00,0.000000000000000000e+00,2.019999999999999921e-02
7.500502533942680294e+00,0.000000000000000000e+00,2.319999999999999840e-02
6.517290591291016177e+00,0.000000000000000000e+00,2.670000000000000151e-02
5.668132208060917776e+00,0.000000000000000000e+00,3.070000000000000159e-02
4.929508747520402245e+00,0.000000000000000000e+00,3.529999999999999805e-02
4.296584167591855241e+00,0.000000000000000000e+00,4.050000000000000128e-02
3.734155767971462758e+00,0.000000000000000000e+00,4.660000000000000253e-02
3.246486171408025534e+00,0.000000000000000000e+00,5.360000000000000181e-02
2.824864590705684186e+00,0.000000000000000000e+00,6.160000000000000198e-02
2.457791790783476760e+00,0.000000000000000000e+00,7.080000000000000182e-02
2.135112377760369995e+00,0.000000000000000000e+00,8.150000000000000300e-02
1.857114821637888769e+00,0.000000000000000000e+00,9.370000000000000551e-02
1.611219062846945826e+00,0.000000000000000000e+00,1.079999999999999988e-01
1.403319828931210766e+00,0.000000000000000000e+00,1.239999999999999991e-01
1.225434216813170218e+00,0.000000000000000000e+00,1.419999999999999873e-01
1.061046699923598347e+00,0.000000000000000000e+00,1.640000000000000069e-01
9.255939297205859617e-01,0.000000000000000000e+00,1.880000000000000004e-01
8.056095314234729132e-01,0.000000000000000000e+00,2.159999999999999976e-01
6.988420031625306450e-01,0.000000000000000000e+00,2.489999999999999991e-01
6.084323733827627922e-01,0.000000000000000000e+00,2.859999999999999765e-01
5.289108169831918671e-01,0.000000000000000000e+00,3.290000000000000147e-01
4.603483036705560139e-01,0.000000000000000000e+00,3.780000000000000027e-01
4.000268018102762224e-01,0.000000000000000000e+00,4.349999999999999978e-01
3.480233175749402608e-01,0.000000000000000000e+00,5.000000000000000000e-01
3.026289718042959875e-01,4.027660001366151649e-05,5.749999999999999556e-01
