# tau,g1,g1^2
1.399999999999999911e+00,9.981999999999999762e-01,9.964032399999999123e-01
1.600000000000000089e+00,9.970999999999999863e-01,9.942084099999999314e-01
2.000000000000000000e+00,9.950999999999999845e-01,9.902240099999999323e-01
2.399999999999999911e+00,9.933999999999999497e-01,9.868435599999999530e-01
5.000000000000000000e+00,9.857000000000000206e-01,9.716044900000000428e-01
1.000000000000000000e+01,9.774000000000000465e-01,9.553107600000000366e-01
1.500000000000000000e+01,9.709999999999999742e-01,9.428409999999999291e-01
2.000000000000000000e+01,9.647999999999999909e-01,9.308390399999999509e-01
2.500000000000000000e+01,9.587999999999999856e-01,9.192974400000000212e-01
3.000000000000000000e+01,9.527999999999999803e-01,9.078278399999999415e-01
3.500000000000000000e+01,9.469999999999999529e-01,8.968089999999998563e-01
4.000000000000000000e+01,9.412000000000000366e-01,8.858574400000001070e-01
4.500000000000000000e+01,9.354000000000000092e-01,8.749731600000000276e-01
5.000000000000000000e+01,9.296999999999999709e-01,8.643420899999999518e-01
5.500000000000000000e+01,9.241000000000000325e-01,8.539608100000000146e-01
6.000000000000000000e+01,9.185999999999999721e-01,8.438259599999999860e-01
6.500000000000000000e+01,9.131000000000000227e-01,8.337516100000000874e-01
7.000000000000000000e+01,9.075999999999999623e-01,8.237377599999999855e-01
7.500000000000000000e+01,9.022000000000000020e-01,8.139648400000000228e-01
8.000000000000000000e+01,8.969000000000000306e-01,8.044296100000000171e-01
8.500000000000000000e+01,8.915999999999999481e-01,7.949505599999998617e-01
9.000000000000000000e+01,8.862999999999999767e-01,7.855276900000000007e-01
9.500000000000000000e+01,8.810999999999999943e-01,7.763372099999999998e-01
1.000000000000000000e+02,8.760000000000000009e-01,7.673759999999999470e-01
1.050000000000000000e+02,8.709000000000000075e-01,7.584668100000000468e-01
1.100000000000000000e+02,8.658000000000000140e-01,7.496096400000000770e-01
1.150000000000000000e+02,8.608000000000000096e-01,7.409766399999999642e-01
1.200000000000000000e+02,8.558999999999999941e-01,7.325648099999999552e-01
1.250000000000000000e+02,8.509999999999999787e-01,7.242009999999999836e-01
1.350000000000000000e+02,8.413000000000000478e-01,7.077856900000001339e-01
1.400000000000000000e+02,8.365000000000000213e-01,6.997322500000000556e-01
1.500000000000000000e+02,8.269999999999999574e-01,6.839289999999998981e-01
1.550000000000000000e+02,8.224000000000000199e-01,6.763417600000000141e-01
1.650000000000000000e+02,8.132000000000000339e-01,6.612942400000000331e-01
1.750000000000000000e+02,8.042000000000000259e-01,6.467376400000000025e-01
1.850000000000000000e+02,7.953000000000000069e-01,6.325020900000000168e-01
1.950000000000000000e+02,7.865999999999999659e-01,6.187395599999999662e-01
2.050000000000000000e+02,7.780000000000000249e-01,6.052840000000000442e-01
2.150000000000000000e+02,7.695999999999999508e-01,5.922841599999999485e-01
2.300000000000000000e+02,7.572999999999999732e-01,5.735032899999999989e-01
2.400000000000000000e+02,7.491999999999999771e-01,5.613006400000000173e-01
2.550000000000000000e+02,7.374000000000000554e-01,5.437587600000001187e-01
2.700000000000000000e+02,7.258999999999999897e-01,5.269308099999999717e-01
2.800000000000000000e+02,7.184000000000000385e-01,5.160985600000000950e-01
3.000000000000000000e+02,7.036999999999999922e-01,4.951936899999999642e-01
3.150000000000000000e+02,6.929999999999999494e-01,4.802489999999999259e-01
3.300000000000000000e+02,6.825999999999999845e-01,4.659427599999999559e-01
3.500000000000000000e+02,6.691000000000000281e-01,4.476948100000000541e-01
3.700000000000000000e+02,6.560000000000000275e-01,4.303360000000000518e-01
3.900000000000000000e+02,6.433999999999999719e-01,4.139635599999999527e-01
4.100000000000000000e+02,6.310999999999999943e-01,3.982872100000000026e-01
4.300000000000000000e+02,6.192999999999999616e-01,3.835324899999999482e-01
4.550000000000000000e+02,6.048999999999999932e-01,3.659040100000000018e-01
4.800000000000000000e+02,5.910999999999999588e-01,3.493992099999999601e-01
5.050000000000000000e+02,5.778999999999999693e-01,3.339684099999999378e-01
5.350000000000000000e+02,5.625999999999999890e-01,3.165187600000000101e-01
5.650000000000000000e+02,5.479000000000000536e-01,3.001944100000000781e-01
5.950000000000000000e+02,5.339000000000000412e-01,2.850492100000000528e-01
6.250000000000000000e+02,5.204999999999999627e-01,2.709202499999999736e-01
6.600000000000000000e+02,5.056000000000000494e-01,2.556313600000000297e-01
6.950000000000000000e+02,4.913000000000000145e-01,2.413756900000000039e-01
7.350000000000000000e+02,4.758000000000000007e-01,2.263856399999999991e-01
7.750000000000000000e+02,4.611000000000000099e-01,2.126132099999999969e-01
8.150000000000000000e+02,4.470999999999999974e-01,1.998984099999999986e-01
8.600000000000000000e+02,4.321999999999999731e-01,1.867968399999999640e-01
9.050000000000000000e+02,4.181000000000000272e-01,1.748076100000000299e-01
9.550000000000000000e+02,4.032000000000000028e-01,1.625702400000000047e-01
1.010000000000000000e+03,3.879000000000000226e-01,1.504664100000000226e-01
1.060000000000000000e+03,3.734000000000000097e-01,1.394275600000000059e-01
1.120000000000000000e+03,3.598000000000000087e-01,1.294560399999999944e-01
1.180000000000000000e+03,3.447000000000000064e-01,1.188180900000000012e-01
1.240000000000000000e+03,3.316000000000000059e-01,1.099585600000000107e-01
1.320000000000000000e+03,3.173000000000000265e-01,1.006792900000000185e-01
1.380000000000000000e+03,3.038000000000000145e-01,9.229444000000000536e-02
1.460000000000000000e+03,2.894999999999999796e-01,8.381024999999998892e-02
1.540000000000000000e+03,2.768999999999999795e-01,7.667360999999998927e-02
1.620000000000000000e+03,2.635000000000000120e-01,6.943225000000000091e-02
1.720000000000000000e+03,2.504000000000000115e-01,6.270016000000000478e-02
1.810000000000000000e+03,2.374999999999999889e-01,5.640624999999999806e-02
1.900000000000000000e+03,2.253999999999999893e-01,5.080515999999999505e-02
2.010000000000000000e+03,2.129999999999999949e-01,4.536899999999999961e-02
2.120000000000000000e+03,2.010000000000000120e-01,4.040100000000000635e-02
2.240000000000000000e+03,1.892999999999999960e-01,3.583448999999999662e-02
2.360000000000000000e+03,1.776000000000000079e-01,3.154176000000000202e-02
