# tau,g1,g1^2
1.550000000000000000e+02,9.391000000000000458e-01,8.819088100000000985e-01
1.650000000000000000e+02,9.354999999999999982e-01,8.751602499999999729e-01
1.750000000000000000e+02,9.320000000000000506e-01,8.686240000000000627e-01
1.850000000000000000e+02,9.284999999999999920e-01,8.621122500000000244e-01
1.950000000000000000e+02,9.250000000000000444e-01,8.556250000000000799e-01
2.050000000000000000e+02,9.214999999999999858e-01,8.491622500000000073e-01
2.150000000000000000e+02,9.181000000000000272e-01,8.429076100000000293e-01
2.300000000000000000e+02,9.130000000000000338e-01,8.335690000000001154e-01
2.400000000000000000e+02,9.095999999999999641e-01,8.273721599999999121e-01
2.550000000000000000e+02,9.044999999999999707e-01,8.181202499999999933e-01
2.700000000000000000e+02,8.993999999999999773e-01,8.089203600000000050e-01
2.800000000000000000e+02,8.961000000000000076e-01,8.029952099999999593e-01
3.000000000000000000e+02,8.894999999999999574e-01,7.912102499999998928e-01
3.150000000000000000e+02,8.846000000000000529e-01,7.825171600000000449e-01
3.300000000000000000e+02,8.797000000000000375e-01,7.738720900000000125e-01
3.500000000000000000e+02,8.731999999999999762e-01,7.624782399999999738e-01
3.700000000000000000e+02,8.668000000000000149e-01,7.513422400000000501e-01
3.900000000000000000e+02,8.605000000000000426e-01,7.404602500000000420e-01
4.100000000000000000e+02,8.541999999999999593e-01,7.296576399999998852e-01
4.300000000000000000e+02,8.479999999999999760e-01,7.191039999999999655e-01
4.550000000000000000e+02,8.403000000000000469e-01,7.061040900000000731e-01
4.800000000000000000e+02,8.326999999999999957e-01,6.933892900000000470e-01
5.050000000000000000e+02,8.252000000000000446e-01,6.809550400000000669e-01
5.350000000000000000e+02,8.163000000000000256e-01,6.663456899999999905e-01
5.650000000000000000e+02,8.075999999999999845e-01,6.522177599999999797e-01
5.950000000000000000e+02,7.989000000000000545e-01,6.382412100000001143e-01
6.250000000000000000e+02,7.903999999999999915e-01,6.247321599999999808e-01
6.600000000000000000e+02,7.805999999999999606e-01,6.093363599999999103e-01
6.950000000000000000e+02,7.709000000000000297e-01,5.942868100000000542e-01
7.350000000000000000e+02,7.600999999999999979e-01,5.777520099999999825e-01
7.750000000000000000e+02,7.495000000000000551e-01,5.617502500000001175e-01
8.150000000000000000e+02,7.389999999999999902e-01,5.461209999999999676e-01
8.600000000000000000e+02,7.274000000000000465e-01,5.291107600000000133e-01
9.050000000000000000e+02,7.160999999999999588e-01,5.127992099999999498e-01
9.550000000000000000e+02,7.037999999999999812e-01,4.953344399999999870e-01
1.010000000000000000e+03,6.905000000000000027e-01,4.767902500000000265e-01
1.060000000000000000e+03,6.774999999999999911e-01,4.590062500000000045e-01
1.120000000000000000e+03,6.649000000000000465e-01,4.420920100000000352e-01
1.180000000000000000e+03,6.502999999999999892e-01,4.228900899999999963e-01
1.240000000000000000e+03,6.370999999999999996e-01,4.058964099999999853e-01
1.320000000000000000e+03,6.221999999999999753e-01,3.871328399999999781e-01
1.380000000000000000e+03,6.077000000000000179e-01,3.692992900000000023e-01
1.460000000000000000e+03,5.915000000000000258e-01,3.498722500000000513e-01
1.540000000000000000e+03,5.768999999999999684e-01,3.328136099999999820e-01
1.620000000000000000e+03,5.607999999999999652e-01,3.144966399999999385e-01
1.720000000000000000e+03,5.443000000000000060e-01,2.962624899999999895e-01
1.810000000000000000e+03,5.273999999999999799e-01,2.781507599999999969e-01
1.900000000000000000e+03,5.111999999999999877e-01,2.613254399999999644e-01
2.010000000000000000e+03,4.939000000000000057e-01,2.439372100000000154e-01
2.120000000000000000e+03,4.764999999999999791e-01,2.270522499999999833e-01
2.240000000000000000e+03,4.590000000000000191e-01,2.106810000000000072e-01
2.360000000000000000e+03,4.408000000000000251e-01,1.943046400000000284e-01
2.480000000000000000e+03,4.233999999999999986e-01,1.792675599999999925e-01
2.620000000000000000e+03,4.053999999999999826e-01,1.643491599999999941e-01
