# d,G,gamma
7.555598807408359426e+04,4.256519877060727271e-03,1.150000000000000001e-06
6.582529264030010381e+04,1.097619122231794156e-02,1.320000000000000067e-06
5.716406992447114317e+04,1.846028888529130732e-02,1.520000000000000058e-06
4.965107787725493836e+04,2.540807475075588032e-02,1.749999999999999974e-06
4.322855039064485754e+04,3.072265772154435942e-02,2.009999999999999814e-06
3.761445293731435231e+04,3.380463049455868091e-02,2.309999999999999906e-06
3.266518281398351974e+04,3.421717803110390504e-02,2.659999999999999943e-06
2.839522427620789313e+04,3.208163784192862716e-02,3.059999999999999925e-06
2.475481090746328846e+04,2.764068494853003446e-02,3.509999999999999852e-06
2.150727383296934204e+04,2.165874566862428102e-02,4.040000000000000283e-06
1.868588952369809704e+04,1.499003607788147903e-02,4.650000000000000372e-06
1.627142065265845304e+04,8.675632018524571595e-03,5.339999999999999695e-06
1.415136584449448856e+04,3.734768580841766900e-03,6.139999999999999659e-06
1.230727851065101459e+04,7.840829944574236000e-04,7.060000000000000168e-06
1.070066333561528882e+04,0.000000000000000000e+00,8.120000000000000183e-06
9.302932150449265464e+03,0.000000000000000000e+00,9.340000000000000361e-06
8.120503391139827727e+03,0.000000000000000000e+00,1.069999999999999920e-05
7.064177746763914001e+03,0.000000000000000000e+00,1.230000000000000082e-05
6.118970865154657986e+03,0.000000000000000000e+00,1.419999999999999957e-05
5.330637195410807180e+03,0.000000000000000000e+00,1.629999999999999979e-05
4.621775866233838315e+03,0.000000000000000000e+00,1.879999999999999957e-05
4.022656772462784829e+03,0.000000000000000000e+00,2.159999999999999987e-05
3.503604285693392285e+03,0.000000000000000000e+00,2.479999999999999972e-05
3.048750395971794660e+03,0.000000000000000000e+00,2.850000000000000157e-05
2.649066655036468092e+03,0.000000000000000000e+00,3.279999999999999767e-05
2.304758256901754521e+03,0.000000000000000000e+00,3.770000000000000158e-05
2.006683286032243359e+03,0.000000000000000000e+00,4.330000000000000217e-05
1.744766792875424926e+03,0.000000000000000000e+00,4.979999999999999753e-05
1.516394176006913767e+03,0.000000000000000000e+00,5.729999999999999688e-05
1.318503585511322399e+03,0.000000000000000000e+00,6.590000000000000263e-05
1.147812236264149988e+03,0.000000000000000000e+00,7.569999999999999689e-05
9.975819320918039921e+02,0.000000000000000000e+00,8.710000000000000294e-05
8.688938628519614440e+02,0.000000000000000000e+00,1.000000000000000048e-04
7.555598807408360926e+02,0.000000000000000000e+00,1.150000000000000035e-04
6.582529264030010836e+02,0.000000000000000000e+00,1.320000000000000101e-04
5.716406992447114135e+02,1.639997795278015646e-02,1.520000000000000084e-04
4.965107787725494290e+02,8.394128993587830767e-02,1.749999999999999982e-04
4.322855039064484117e+02,1.635386969869568885e-01,2.010000000000000068e-04
3.761445293731435413e+02,2.031917954995978715e-01,2.310000000000000042e-04
3.266518281398351178e+02,1.756967155639661549e-01,2.660000000000000146e-04
2.839522427620788676e+02,8.530027005626257541e-02,3.060000000000000111e-04
2.475481090746328618e+02,2.400541312650211669e-03,3.510000000000000208e-04
2.150727383296934363e+02,0.000000000000000000e+00,4.040000000000000080e-04
1.868588952369809704e+02,0.000000000000000000e+00,4.650000000000000270e-04
1.627142065265845474e+02,0.000000000000000000e+00,5.339999999999999695e-04
1.415136584449448662e+02,0.000000000000000000e+00,6.139999999999999625e-04
1.230727851065101248e+02,0.000000000000000000e+00,7.060000000000000303e-04
1.070066333561528751e+02,0.000000000000000000e+00,8.120000000000000048e-04
9.302932150449265691e+01,0.000000000000000000e+00,9.340000000000000429e-04
8.120503391139827443e+01,0.000000000000000000e+00,1.069999999999999988e-03
7.064177746763914456e+01,0.000000000000000000e+00,1.229999999999999974e-03
6.118970865154658156e+01,2.119280962734967563e-03,1.420000000000000038e-03
5.330637195410806584e+01,0.000000000000000000e+00,1.629999999999999939e-03
4.621775866233837604e+01,0.000000000000000000e+00,1.879999999999999944e-03
4.022656772462784147e+01,0.000000000000000000e+00,2.160000000000000028e-03
3.503604285693393194e+01,0.000000000000000000e+00,2.480000000000000000e-03
3.048750395971795157e+01,0.000000000000000000e+00,2.850000000000000103e-03
2.649066655036468276e+01,0.000000000000000000e+00,3.279999999999999930e-03
2.304758256901754621e+01,0.000000000000000000e+00,3.769999999999999914e-03
2.006683286032244240e+01,0.000000000000000000e+00,4.329999999999999648e-03
1.744766792875424599e+01,0.000000000000000000e+00,4.980000000000000052e-03
1.516394176006913774e+01,0.000000000000000000e+00,5.729999999999999850e-03
1.318503585511322385e+01,0.000000000000000000e+00,6.590000000000000371e-03
1.147812236264149632e+01,0.000000000000000000e+00,7.570000000000000340e-03
9.975819320918040134e+00,0.000000000000000000e+00,8.710000000000000728e-03
8.688938628519613516e+00,0.000000000000000000e+00,1.000000000000000021e-02
7.555598807408361317e+00,0.000000000000000000e+00,1.149999999999999981e-02
6.582529264030011262e+00,0.000000000000000000e+00,1.319999999999999993e-02
5.716406992447113922e+00,0.000000000000000000e+00,1.519999999999999997e-02
4.965107787725493438e+00,0.000000000000000000e+00,1.750000000000000167e-02
4.322855039064484650e+00,0.000000000000000000e+00,2.009999999999999981e-02
3.761445293731434880e+00,0.000000000000000000e+00,2.309999999999999901e-02
3.266518281398351320e+00,0.000000000000000000e+00,2.659999999999999865e-02
2.839522427620789102e+00,0.000000000000000000e+00,3.059999999999999873e-02
2.475481090746329382e+00,0.000000000000000000e+00,3.509999999999999926e-02
2.150727383296934025e+00,0.000000000000000000e+00,4.039999999999999841e-02
1.868588952369809819e+00,0.000000000000000000e+00,4.649999999999999967e-02
1.627142065265845261e+00,0.000000000000000000e+00,5.340000000000000302e-02
1.415136584449448565e+00,0.000000000000000000e+00,6.140000000000000319e-02
1.230727851065101408e+00,0.000000000000000000e+00,7.059999999999999609e-02
1.070066333561528804e+00,0.000000000000000000e+00,8.119999999999999440e-02
9.302932150449266802e-01,0.000000000000000000e+00,9.339999999999999691e-02
8.120503391139827221e-01,0.000000000000000000e+00,1.069999999999999979e-01
7.064177746763913301e-01,0.000000000000000000e+00,1.229999999999999982e-01
6.118970865154659267e-01,0.000000000000000000e+00,1.419999999999999873e-01
5.330637195410806717e-01,0.000000000000000000e+00,1.630000000000000060e-01
4.621775866233838181e-01,0.000000000000000000e+00,1.880000000000000004e-01
4.022656772462784858e-01,0.000000000000000000e+00,2.159999999999999976e-01
3.503604285693392439e-01,0.000000000000000000e+00,2.479999999999999982e-01
3.048750395971795424e-01,0.000000000000000000e+00,2.849999999999999756e-01
2.649066655036467766e-01,0.000000000000000000e+00,3.280000000000000138e-01
2.304758256901754676e-01,0.000000000000000000e+00,3.770000000000000018e-01
2.006683286032243663e-01,0.000000000000000000e+00,4.329999999999999960e-01
1.744766792875424299e-01,0.000000000000000000e+00,4.979999999999999982e-01
1.516394176006913563e-01,0.000000000000000000e+00,5.729999999999999538e-01
1.318503585511322518e-01,0.000000000000000000e+00,6.590000000000000302e-01
1.147812236264149910e-01,0.000000000000000000e+00,7.570000000000000062e-01
9.975819320918041799e-02,0.000000000000000000e+00,8.709999999999999964e-01
8.688938628519614349e-02,0.000000000000000000e+00,1.000000000000000000e+00
7.555598807408361872e-02,3.026157518069969670e-07,1.149999999999999911e+00
