# tau,g1,g1^2
1.399999999999999911e+00,9.987000000000000322e-01,9.974016900000001185e-01
1.600000000000000089e+00,9.971999999999999753e-01,9.944078399999999318e-01
2.000000000000000000e+00,9.946000000000000396e-01,9.892291600000000518e-01
2.399999999999999911e+00,9.923999999999999488e-01,9.848577599999999155e-01
5.000000000000000000e+00,9.838999999999999968e-01,9.680592099999999478e-01
1.000000000000000000e+01,9.769999999999999796e-01,9.545289999999999608e-01
1.500000000000000000e+01,9.720999999999999641e-01,9.449784099999999354e-01
2.000000000000000000e+01,9.674000000000000377e-01,9.358627600000001268e-01
2.500000000000000000e+01,9.627000000000000002e-01,9.267912900000000453e-01
3.000000000000000000e+01,9.580999999999999517e-01,9.179556099999999219e-01
3.500000000000000000e+01,9.535000000000000142e-01,9.091622500000000606e-01
4.000000000000000000e+01,9.488999999999999657e-01,9.004112099999999064e-01
4.500000000000000000e+01,9.444000000000000172e-01,8.918913600000000219e-01
5.000000000000000000e+01,9.398999999999999577e-01,8.834120099999999143e-01
5.500000000000000000e+01,9.354999999999999982e-01,8.751602499999999729e-01
6.000000000000000000e+01,9.311000000000000387e-01,8.669472100000000792e-01
6.500000000000000000e+01,9.266999999999999682e-01,8.587728899999998999e-01
7.000000000000000000e+01,9.223999999999999977e-01,8.508217599999999825e-01
7.500000000000000000e+01,9.181000000000000272e-01,8.429076100000000293e-01
8.000000000000000000e+01,9.137999999999999456e-01,8.350304399999999294e-01
8.500000000000000000e+01,9.095999999999999641e-01,8.273721599999999121e-01
9.000000000000000000e+01,9.053999999999999826e-01,8.197491599999999767e-01
9.500000000000000000e+01,9.012000000000000011e-01,8.121614400000000122e-01
1.000000000000000000e+02,8.970000000000000195e-01,8.046090000000000186e-01
1.050000000000000000e+02,8.929000000000000270e-01,7.972704100000000960e-01
1.100000000000000000e+02,8.889000000000000234e-01,7.901432100000000958e-01
1.150000000000000000e+02,8.848000000000000309e-01,7.828710400000000735e-01
1.200000000000000000e+02,8.808000000000000274e-01,7.758086400000000493e-01
1.250000000000000000e+02,8.768000000000000238e-01,7.687782400000000571e-01
1.350000000000000000e+02,8.689000000000000057e-01,7.549872100000000197e-01
1.400000000000000000e+02,8.649999999999999911e-01,7.482250000000000290e-01
1.500000000000000000e+02,8.572999999999999510e-01,7.349632899999999358e-01
1.550000000000000000e+02,8.535000000000000364e-01,7.284622500000000889e-01
1.650000000000000000e+02,8.458999999999999853e-01,7.155468099999999776e-01
