# tau,g1,g1^2
1.399999999999999911e+00,9.996000000000000441e-01,9.992001600000001149e-01
1.600000000000000089e+00,9.995000000000000551e-01,9.990002500000001451e-01
2.000000000000000000e+00,9.995000000000000551e-01,9.990002500000001451e-01
2.399999999999999911e+00,9.993999999999999551e-01,9.988003599999999427e-01
5.000000000000000000e+00,9.989000000000000101e-01,9.978012099999999940e-01
1.000000000000000000e+01,9.980999999999999872e-01,9.962036100000000172e-01
1.500000000000000000e+01,9.971999999999999753e-01,9.944078399999999318e-01
2.000000000000000000e+01,9.962999999999999634e-01,9.926136899999998819e-01
2.500000000000000000e+01,9.955000000000000515e-01,9.910202500000001580e-01
3.000000000000000000e+01,9.946000000000000396e-01,9.892291600000000518e-01
3.500000000000000000e+01,9.937000000000000277e-01,9.874396900000000921e-01
4.000000000000000000e+01,9.929000000000000048e-01,9.858504099999999548e-01
4.500000000000000000e+01,9.919999999999999929e-01,9.840639999999999388e-01
5.000000000000000000e+01,9.910999999999999810e-01,9.822792099999999582e-01
5.500000000000000000e+01,9.902999999999999581e-01,9.806940899999999628e-01
6.000000000000000000e+01,9.893999999999999462e-01,9.789123599999999259e-01
6.500000000000000000e+01,9.886000000000000343e-01,9.773299600000000531e-01
7.000000000000000000e+01,9.877000000000000224e-01,9.755512900000000709e-01
7.500000000000000000e+01,9.868000000000000105e-01,9.737742400000000131e-01
8.000000000000000000e+01,9.859999999999999876e-01,9.721959999999999491e-01
8.500000000000000000e+01,9.850999999999999757e-01,9.704220099999999460e-01
9.000000000000000000e+01,9.842999999999999527e-01,9.688464899999998936e-01
9.500000000000000000e+01,9.834000000000000519e-01,9.670755600000000562e-01
1.000000000000000000e+02,9.826000000000000290e-01,9.655027600000000154e-01
1.050000000000000000e+02,9.817000000000000171e-01,9.637348900000000107e-01
1.100000000000000000e+02,9.808999999999999941e-01,9.621648099999999815e-01
1.150000000000000000e+02,9.799999999999999822e-01,9.603999999999999204e-01
1.200000000000000000e+02,9.791999999999999593e-01,9.588326399999999028e-01
1.250000000000000000e+02,9.782999999999999474e-01,9.570708899999998964e-01
1.350000000000000000e+02,9.766000000000000236e-01,9.537475600000000497e-01
1.400000000000000000e+02,9.758000000000000007e-01,9.521856400000000553e-01
1.500000000000000000e+02,9.740999999999999659e-01,9.488708099999999535e-01
1.550000000000000000e+02,9.733000000000000540e-01,9.473128900000000741e-01
1.650000000000000000e+02,9.716000000000000192e-01,9.440065600000000501e-01
1.750000000000000000e+02,9.698999999999999844e-01,9.407060099999999814e-01
1.850000000000000000e+02,9.683000000000000496e-01,9.376048900000001352e-01
1.950000000000000000e+02,9.666000000000000147e-01,9.343155600000000449e-01
2.050000000000000000e+02,9.648999999999999799e-01,9.310320099999999099e-01
2.150000000000000000e+02,9.633000000000000451e-01,9.279468900000000797e-01
2.300000000000000000e+02,9.607999999999999874e-01,9.231366399999999528e-01
2.400000000000000000e+02,9.590999999999999526e-01,9.198728099999998742e-01
2.550000000000000000e+02,9.566999999999999948e-01,9.152748899999999521e-01
2.700000000000000000e+02,9.542000000000000481e-01,9.104976400000001080e-01
2.800000000000000000e+02,9.526000000000000023e-01,9.074467600000000189e-01
3.000000000000000000e+02,9.493000000000000327e-01,9.011704900000000462e-01
3.150000000000000000e+02,9.468999999999999639e-01,8.966196099999999003e-01
3.300000000000000000e+02,9.445000000000000062e-01,8.920802500000000190e-01
3.500000000000000000e+02,9.413000000000000256e-01,8.860456899999999969e-01
3.700000000000000000e+02,9.381000000000000449e-01,8.800316100000000752e-01
3.900000000000000000e+02,9.348999999999999533e-01,8.740380099999999208e-01
4.100000000000000000e+02,9.316999999999999726e-01,8.680648899999999779e-01
4.300000000000000000e+02,9.284999999999999920e-01,8.621122500000000244e-01
4.550000000000000000e+02,9.245999999999999774e-01,8.548851599999999218e-01
4.800000000000000000e+02,9.206999999999999629e-01,8.476884899999999057e-01
5.050000000000000000e+02,9.167999999999999483e-01,8.405222399999998650e-01
5.350000000000000000e+02,9.122000000000000108e-01,8.321088400000000718e-01
5.650000000000000000e+02,9.075999999999999623e-01,8.237377599999999855e-01
5.950000000000000000e+02,9.030000000000000249e-01,8.154090000000000504e-01
6.250000000000000000e+02,8.983999999999999764e-01,8.071225599999999334e-01
6.600000000000000000e+02,8.931999999999999940e-01,7.978062399999999998e-01
6.950000000000000000e+02,8.879000000000000226e-01,7.883664100000000730e-01
7.350000000000000000e+02,8.820000000000000062e-01,7.779240000000000599e-01
7.750000000000000000e+02,8.760999999999999899e-01,7.675512099999999283e-01
8.150000000000000000e+02,8.702999999999999625e-01,7.574220899999999368e-01
8.600000000000000000e+02,8.637000000000000233e-01,7.459776900000000266e-01
9.050000000000000000e+02,8.572999999999999510e-01,7.349632899999999358e-01
9.550000000000000000e+02,8.501999999999999558e-01,7.228400399999999060e-01
1.010000000000000000e+03,8.424000000000000377e-01,7.096377600000001173e-01
1.060000000000000000e+03,8.347999999999999865e-01,6.968910400000000172e-01
1.120000000000000000e+03,8.272000000000000464e-01,6.842598400000000636e-01
1.180000000000000000e+03,8.183000000000000274e-01,6.696148900000000737e-01
1.240000000000000000e+03,8.102000000000000313e-01,6.564240400000000975e-01
1.320000000000000000e+03,8.008999999999999453e-01,6.414408099999998614e-01
1.380000000000000000e+03,7.917999999999999483e-01,6.269472399999999057e-01
1.460000000000000000e+03,7.813999999999999835e-01,6.105859599999999832e-01
1.540000000000000000e+03,7.718000000000000416e-01,5.956752400000000502e-01
1.620000000000000000e+03,7.611999999999999877e-01,5.794254399999999583e-01
1.720000000000000000e+03,7.500000000000000000e-01,5.625000000000000000e-01
1.810000000000000000e+03,7.385000000000000453e-01,5.453822500000000684e-01
1.900000000000000000e+03,7.270999999999999686e-01,5.286744099999999280e-01
2.010000000000000000e+03,7.147999999999999909e-01,5.109390400000000110e-01
2.120000000000000000e+03,7.022000000000000464e-01,4.930848400000000797e-01
2.240000000000000000e+03,6.892000000000000348e-01,4.749966400000000255e-01
2.360000000000000000e+03,6.754999999999999893e-01,4.563002499999999628e-01
2.480000000000000000e+03,6.620000000000000329e-01,4.382440000000000224e-01
2.620000000000000000e+03,6.478000000000000425e-01,4.196448400000000745e-01
2.760000000000000000e+03,6.329000000000000181e-01,4.005624100000000354e-01
2.920000000000000000e+03,6.179000000000000048e-01,3.818004099999999790e-01
3.080000000000000000e+03,6.022999999999999465e-01,3.627652899999999625e-01
3.240000000000000000e+03,5.866999999999999993e-01,3.442168899999999976e-01
3.420000000000000000e+03,5.702000000000000401e-01,3.251280400000000625e-01
3.600000000000000000e+03,5.537999999999999590e-01,3.066944399999999571e-01
3.800000000000000000e+03,5.371000000000000218e-01,2.884764100000000164e-01
4.010000000000000000e+03,5.197000000000000508e-01,2.700880900000000584e-01
4.220000000000000000e+03,5.026000000000000467e-01,2.526067600000000413e-01
4.460000000000000000e+03,4.844999999999999862e-01,2.347402499999999836e-01
4.700000000000000000e+03,4.668999999999999817e-01,2.179956099999999786e-01
4.960000000000000000e+03,4.489000000000000212e-01,2.015112100000000239e-01
5.220000000000000000e+03,4.307000000000000273e-01,1.855024900000000199e-01
5.510000000000000000e+03,4.123999999999999888e-01,1.700737599999999905e-01
5.810000000000000000e+03,3.940000000000000169e-01,1.552360000000000129e-01
6.130000000000000000e+03,3.754000000000000115e-01,1.409251600000000215e-01
6.460000000000000000e+03,3.569999999999999840e-01,1.274489999999999790e-01
6.820000000000000000e+03,3.388999999999999790e-01,1.148532099999999834e-01
7.180000000000000000e+03,3.207999999999999741e-01,1.029126399999999858e-01
7.580000000000000000e+03,3.027000000000000246e-01,9.162729000000001400e-02
7.990000000000000000e+03,2.851000000000000201e-01,8.128201000000001564e-02
8.420000000000000000e+03,2.676999999999999935e-01,7.166328999999999061e-02
8.880000000000000000e+03,2.505000000000000004e-01,6.275024999999999353e-02
9.370000000000000000e+03,2.338000000000000078e-01,5.466244000000000658e-02
9.880000000000000000e+03,2.174999999999999989e-01,4.730625000000000108e-02
1.040000000000000000e+04,2.016000000000000014e-01,4.064256000000000119e-02
1.100000000000000000e+04,1.862999999999999934e-01,3.470768999999999938e-02
1.160000000000000000e+04,1.716000000000000025e-01,2.944656000000000010e-02
1.220000000000000000e+04,1.574000000000000121e-01,2.477476000000000331e-02
1.290000000000000000e+04,1.439000000000000001e-01,2.070721000000000020e-02
1.360000000000000000e+04,1.310999999999999943e-01,1.718720999999999791e-02
1.430000000000000000e+04,1.189000000000000057e-01,1.413721000000000075e-02
1.510000000000000000e+04,1.073000000000000065e-01,1.151329000000000068e-02
1.590000000000000000e+04,9.654000000000000081e-02,9.319971600000000883e-03
1.680000000000000000e+04,8.641999999999999682e-02,7.468416399999999560e-03
1.770000000000000000e+04,7.703999999999999737e-02,5.935161599999999767e-03
