# tau,g1,g1^2
1.399999999999999911e+00,9.995000000000000551e-01,9.990002500000001451e-01
1.600000000000000089e+00,9.988000000000000211e-01,9.976014400000000615e-01
2.000000000000000000e+00,9.976000000000000423e-01,9.952057600000000503e-01
2.399999999999999911e+00,9.966000000000000414e-01,9.932115600000001043e-01
5.000000000000000000e+00,9.929999999999999938e-01,9.860489999999999533e-01
1.000000000000000000e+01,9.893999999999999462e-01,9.789123599999999259e-01
1.500000000000000000e+01,9.866000000000000325e-01,9.733795600000000325e-01
2.000000000000000000e+01,9.838999999999999968e-01,9.680592099999999478e-01
2.500000000000000000e+01,9.812999999999999501e-01,9.629496899999998583e-01
3.000000000000000000e+01,9.787000000000000144e-01,9.578536899999999799e-01
3.500000000000000000e+01,9.760999999999999677e-01,9.527712099999999795e-01
4.000000000000000000e+01,9.735000000000000320e-01,9.477022500000000793e-01
4.500000000000000000e+01,9.708999999999999853e-01,9.426468099999999462e-01
5.000000000000000000e+01,9.684000000000000385e-01,9.377985600000000588e-01
5.500000000000000000e+01,9.657999999999999918e-01,9.327696399999999555e-01
6.000000000000000000e+01,9.633000000000000451e-01,9.279468900000000797e-01
6.500000000000000000e+01,9.606999999999999984e-01,9.229444900000000063e-01
7.000000000000000000e+01,9.582000000000000517e-01,9.181472400000001421e-01
7.500000000000000000e+01,9.556999999999999940e-01,9.133624900000000268e-01
8.000000000000000000e+01,9.532000000000000473e-01,9.085902400000001045e-01
8.500000000000000000e+01,9.506999999999999895e-01,9.038304899999999309e-01
9.000000000000000000e+01,9.482000000000000428e-01,8.990832400000000613e-01
9.500000000000000000e+01,9.457999999999999741e-01,8.945376399999999117e-01
1.000000000000000000e+02,9.433000000000000274e-01,8.898148900000000250e-01
1.050000000000000000e+02,9.407999999999999696e-01,8.851046399999999981e-01
1.100000000000000000e+02,9.384000000000000119e-01,8.805945600000000262e-01
1.150000000000000000e+02,9.360000000000000542e-01,8.760960000000000969e-01
1.200000000000000000e+02,9.334999999999999964e-01,8.714222499999999538e-01
1.250000000000000000e+02,9.311000000000000387e-01,8.669472100000000792e-01
1.350000000000000000e+02,9.263000000000000123e-01,8.580316900000000135e-01
1.400000000000000000e+02,9.239000000000000545e-01,8.535912100000001557e-01
1.500000000000000000e+02,9.192000000000000171e-01,8.449286400000000086e-01
1.550000000000000000e+02,9.167999999999999483e-01,8.405222399999998650e-01
1.650000000000000000e+02,9.121000000000000218e-01,8.319264100000000051e-01
1.750000000000000000e+02,9.073999999999999844e-01,8.233747599999999833e-01
1.850000000000000000e+02,9.028000000000000469e-01,8.150478400000000789e-01
1.950000000000000000e+02,8.981999999999999984e-01,8.067632399999999926e-01
2.050000000000000000e+02,8.935999999999999499e-01,7.985209599999999464e-01
2.150000000000000000e+02,8.891000000000000014e-01,7.904988099999999962e-01
2.300000000000000000e+02,8.822999999999999732e-01,7.784532899999999644e-01
2.400000000000000000e+02,8.778000000000000247e-01,7.705328399999999966e-01
2.550000000000000000e+02,8.711999999999999744e-01,7.589894399999999042e-01
2.700000000000000000e+02,8.647000000000000242e-01,7.477060899999999899e-01
2.800000000000000000e+02,8.602999999999999536e-01,7.401160899999998932e-01
3.000000000000000000e+02,8.517000000000000126e-01,7.253928900000000679e-01
3.150000000000000000e+02,8.454000000000000403e-01,7.147011600000000575e-01
3.300000000000000000e+02,8.390999999999999570e-01,7.040888099999998984e-01
3.500000000000000000e+02,8.307999999999999829e-01,6.902286399999999489e-01
3.700000000000000000e+02,8.225999999999999979e-01,6.766707600000000378e-01
3.900000000000000000e+02,8.145000000000000018e-01,6.634102499999999791e-01
4.100000000000000000e+02,8.064999999999999947e-01,6.504422499999999996e-01
4.300000000000000000e+02,7.986999999999999655e-01,6.379216899999999857e-01
4.550000000000000000e+02,7.890000000000000346e-01,6.225210000000001020e-01
4.800000000000000000e+02,7.794999999999999707e-01,6.076202499999999729e-01
5.050000000000000000e+02,7.701000000000000068e-01,5.930540100000000203e-01
5.350000000000000000e+02,7.590999999999999970e-01,5.762328100000000397e-01
5.650000000000000000e+02,7.481999999999999762e-01,5.598032399999999242e-01
5.950000000000000000e+02,7.376000000000000334e-01,5.440537600000000529e-01
6.250000000000000000e+02,7.271999999999999575e-01,5.288198399999999300e-01
6.600000000000000000e+02,7.153000000000000469e-01,5.116540900000000613e-01
6.950000000000000000e+02,7.036000000000000032e-01,4.950529599999999864e-01
7.350000000000000000e+02,6.905999999999999917e-01,4.769283599999999956e-01
7.750000000000000000e+02,6.778999999999999471e-01,4.595484099999999072e-01
8.150000000000000000e+02,6.654999999999999805e-01,4.428902499999999853e-01
8.600000000000000000e+02,6.519000000000000350e-01,4.249736100000000572e-01
9.050000000000000000e+02,6.387000000000000455e-01,4.079376900000000750e-01
9.550000000000000000e+02,6.243999999999999551e-01,3.898753599999999486e-01
1.010000000000000000e+03,6.090999999999999748e-01,3.710028099999999607e-01
1.060000000000000000e+03,5.944000000000000394e-01,3.533113600000000742e-01
1.120000000000000000e+03,5.800999999999999490e-01,3.365160099999999210e-01
1.180000000000000000e+03,5.636999999999999789e-01,3.177576899999999815e-01
1.240000000000000000e+03,5.492000000000000215e-01,3.016206400000000509e-01
1.320000000000000000e+03,5.328000000000000513e-01,2.838758400000000459e-01
1.380000000000000000e+03,5.170000000000000151e-01,2.672889999999999988e-01
1.460000000000000000e+03,4.996999999999999775e-01,2.497000899999999857e-01
1.540000000000000000e+03,4.840999999999999748e-01,2.343528099999999670e-01
1.620000000000000000e+03,4.671000000000000152e-01,2.181824100000000211e-01
1.720000000000000000e+03,4.500000000000000111e-01,2.025000000000000133e-01
1.810000000000000000e+03,4.326999999999999735e-01,1.872292899999999649e-01
1.900000000000000000e+03,4.162000000000000144e-01,1.732224400000000053e-01
2.010000000000000000e+03,3.988999999999999768e-01,1.591212099999999852e-01
2.120000000000000000e+03,3.815999999999999948e-01,1.456185600000000080e-01
2.240000000000000000e+03,3.645999999999999797e-01,1.329331599999999947e-01
2.360000000000000000e+03,3.469999999999999751e-01,1.204089999999999883e-01
2.480000000000000000e+03,3.304000000000000270e-01,1.091641600000000240e-01
2.620000000000000000e+03,3.135999999999999899e-01,9.834495999999999516e-02
2.760000000000000000e+03,2.965999999999999748e-01,8.797155999999999032e-02
2.920000000000000000e+03,2.800000000000000266e-01,7.840000000000001135e-02
3.080000000000000000e+03,2.636000000000000010e-01,6.948495999999999839e-02
3.240000000000000000e+03,2.477999999999999925e-01,6.140483999999999526e-02
3.420000000000000000e+03,2.316999999999999893e-01,5.368488999999999206e-02
3.600000000000000000e+03,2.164000000000000090e-01,4.682896000000000281e-02
3.800000000000000000e+03,2.015000000000000124e-01,4.060225000000000639e-02
4.010000000000000000e+03,1.865999999999999881e-01,3.481955999999999246e-02
4.220000000000000000e+03,1.726999999999999924e-01,2.982528999999999736e-02
4.460000000000000000e+03,1.587999999999999967e-01,2.521744000000000069e-02
