# tau,g1,g1^2
1.399999999999999911e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.600000000000000089e+00,9.999000000000000110e-01,9.998000100000000723e-01
2.000000000000000000e+00,9.993999999999999551e-01,9.988003599999999427e-01
2.399999999999999911e+00,9.989000000000000101e-01,9.978012099999999940e-01
5.000000000000000000e+00,9.971999999999999753e-01,9.944078399999999318e-01
1.000000000000000000e+01,9.960999999999999854e-01,9.922152100000000141e-01
1.500000000000000000e+01,9.955000000000000515e-01,9.910202500000001580e-01
2.000000000000000000e+01,9.949999999999999956e-01,9.900250000000000439e-01
2.500000000000000000e+01,9.943999999999999506e-01,9.888313599999999370e-01
3.000000000000000000e+01,9.939000000000000057e-01,9.878372100000000211e-01
3.500000000000000000e+01,9.933999999999999497e-01,9.868435599999999530e-01
4.000000000000000000e+01,9.928000000000000158e-01,9.856518400000000568e-01
4.500000000000000000e+01,9.922999999999999599e-01,9.846592899999999648e-01
5.000000000000000000e+01,9.918000000000000149e-01,9.836672400000000538e-01
5.500000000000000000e+01,9.912999999999999590e-01,9.826756899999998796e-01
6.000000000000000000e+01,9.907000000000000250e-01,9.814864900000001002e-01
6.500000000000000000e+01,9.901999999999999691e-01,9.804960399999999021e-01
7.000000000000000000e+01,9.897000000000000242e-01,9.795060899999999959e-01
7.500000000000000000e+01,9.890999999999999792e-01,9.783188099999999832e-01
8.000000000000000000e+01,9.886000000000000343e-01,9.773299600000000531e-01
8.500000000000000000e+01,9.880999999999999783e-01,9.763416099999999709e-01
9.000000000000000000e+01,9.875000000000000444e-01,9.751562500000000577e-01
9.500000000000000000e+01,9.869999999999999885e-01,9.741689999999999516e-01
1.000000000000000000e+02,9.865000000000000435e-01,9.731822500000001375e-01
1.050000000000000000e+02,9.859999999999999876e-01,9.721959999999999491e-01
1.100000000000000000e+02,9.854000000000000536e-01,9.710131600000001528e-01
1.150000000000000000e+02,9.848999999999999977e-01,9.700280099999999406e-01
1.200000000000000000e+02,9.844000000000000528e-01,9.690433600000001313e-01
1.250000000000000000e+02,9.838999999999999968e-01,9.680592099999999478e-01
1.350000000000000000e+02,9.828000000000000069e-01,9.658958400000000610e-01
1.400000000000000000e+02,9.822999999999999510e-01,9.649132899999999236e-01
1.500000000000000000e+02,9.811999999999999611e-01,9.627534399999999604e-01
1.550000000000000000e+02,9.807000000000000162e-01,9.617724899999999799e-01
1.650000000000000000e+02,9.797000000000000153e-01,9.598120900000000066e-01
1.750000000000000000e+02,9.786000000000000254e-01,9.576579600000000303e-01
1.850000000000000000e+02,9.776000000000000245e-01,9.557017600000000668e-01
1.950000000000000000e+02,9.765000000000000346e-01,9.535522500000001012e-01
2.050000000000000000e+02,9.755000000000000338e-01,9.516002500000000364e-01
2.150000000000000000e+02,9.745000000000000329e-01,9.496502500000000291e-01
2.300000000000000000e+02,9.728999999999999870e-01,9.465344099999999372e-01
2.400000000000000000e+02,9.718999999999999861e-01,9.445896099999999684e-01
2.550000000000000000e+02,9.703000000000000513e-01,9.414820900000000492e-01
2.700000000000000000e+02,9.687999999999999945e-01,9.385734399999999811e-01
2.800000000000000000e+02,9.677000000000000046e-01,9.364432900000000393e-01
3.000000000000000000e+02,9.657000000000000028e-01,9.325764899999999802e-01
3.150000000000000000e+02,9.640999999999999570e-01,9.294888099999999431e-01
3.300000000000000000e+02,9.626000000000000112e-01,9.265987600000000768e-01
3.500000000000000000e+02,9.606000000000000094e-01,9.227523600000000492e-01
3.700000000000000000e+02,9.585000000000000187e-01,9.187222500000000736e-01
3.900000000000000000e+02,9.565000000000000169e-01,9.148922500000000735e-01
4.100000000000000000e+02,9.545000000000000151e-01,9.110702500000000814e-01
4.300000000000000000e+02,9.525000000000000133e-01,9.072562499999999863e-01
4.550000000000000000e+02,9.498999999999999666e-01,9.023100099999998847e-01
4.800000000000000000e+02,9.474000000000000199e-01,8.975667600000000190e-01
5.050000000000000000e+02,9.448999999999999622e-01,8.928360099999999022e-01
5.350000000000000000e+02,9.418999999999999595e-01,8.871756099999998924e-01
5.650000000000000000e+02,9.389999999999999458e-01,8.817209999999998660e-01
5.950000000000000000e+02,9.360000000000000542e-01,8.760960000000000969e-01
6.250000000000000000e+02,9.330000000000000515e-01,8.704890000000000683e-01
6.600000000000000000e+02,9.295999999999999819e-01,8.641561599999999510e-01
6.950000000000000000e+02,9.262000000000000233e-01,8.578464399999999879e-01
7.350000000000000000e+02,9.223000000000000087e-01,8.506372899999999904e-01
7.750000000000000000e+02,9.183999999999999941e-01,8.434585599999999683e-01
8.150000000000000000e+02,9.145999999999999686e-01,8.364931599999999579e-01
8.600000000000000000e+02,9.102999999999999980e-01,8.286460900000000018e-01
9.050000000000000000e+02,9.060000000000000275e-01,8.208360000000000101e-01
