# d,G,gamma
3.345996789296145302e+00,0.000000000000000000e+00,6.980000000000000093e-02
2.912101943801383985e+00,0.000000000000000000e+00,8.019999999999999352e-02
2.533086506430271001e+00,0.000000000000000000e+00,9.220000000000000417e-02
2.203307319744066017e+00,0.000000000000000000e+00,1.059999999999999970e-01
1.914348982728450554e+00,0.000000000000000000e+00,1.219999999999999973e-01
1.668218399234792315e+00,0.000000000000000000e+00,1.400000000000000133e-01
1.450624694986776264e+00,0.000000000000000000e+00,1.610000000000000042e-01
1.262435545366870082e+00,0.000000000000000000e+00,1.849999999999999978e-01
1.096481576961835680e+00,0.000000000000000000e+00,2.129999999999999949e-01
9.532676567055957673e-01,0.000000000000000000e+00,2.449999999999999956e-01
8.281935315350036353e-01,0.000000000000000000e+00,2.819999999999999729e-01
7.208351107804659152e-01,0.000000000000000000e+00,3.240000000000000102e-01
6.278241287442768437e-01,0.000000000000000000e+00,3.719999999999999973e-01
5.456789156375490002e-01,6.091959528726414113e-05,4.279999999999999916e-01
