# d,G,gamma
5.456789156375490129e+05,0.000000000000000000e+00,4.280000000000000209e-07
4.746962924651849316e+05,0.000000000000000000e+00,4.920000000000000116e-07
4.126335263124929625e+05,0.000000000000000000e+00,5.659999999999999596e-07
3.587566449967296212e+05,0.000000000000000000e+00,6.509999999999999928e-07
3.122333902311109705e+05,0.000000000000000000e+00,7.479999999999999746e-07
2.715704370847336832e+05,0.000000000000000000e+00,8.600000000000000246e-07
2.361482061606380448e+05,0.000000000000000000e+00,9.889999999999999754e-07
2.048689262218166259e+05,0.000000000000000000e+00,1.140000000000000097e-06
1.782828823609702231e+05,0.000000000000000000e+00,1.309999999999999951e-06
1.557003839285806462e+05,0.000000000000000000e+00,1.500000000000000038e-06
1.350003328860525799e+05,0.000000000000000000e+00,1.729999999999999953e-06
1.173620984386286291e+05,0.000000000000000000e+00,1.990000000000000005e-06
1.019871510449218185e+05,0.000000000000000000e+00,2.290000000000000098e-06
8.880250033949468343e+04,0.000000000000000000e+00,2.629999999999999807e-06
7.733462777909636497e+04,0.000000000000000000e+00,3.019999999999999885e-06
6.730564146768616047e+04,0.000000000000000000e+00,3.469999999999999811e-06
5.853397892051903182e+04,0.000000000000000000e+00,3.989999999999999915e-06
5.088247840803289728e+04,0.000000000000000000e+00,4.590000000000000099e-06
4.423306361607404688e+04,0.000000000000000000e+00,5.280000000000000269e-06
3.847620690162618848e+04,0.000000000000000000e+00,6.070000000000000329e-06
3.345996789296146017e+04,0.000000000000000000e+00,6.980000000000000086e-06
2.912101943801383823e+04,0.000000000000000000e+00,8.019999999999999446e-06
2.533086506430270674e+04,0.000000000000000000e+00,9.219999999999999816e-06
2.203307319744065899e+04,0.000000000000000000e+00,1.060000000000000016e-05
1.914348982728450574e+04,0.000000000000000000e+00,1.220000000000000008e-05
1.668218399234792741e+04,0.000000000000000000e+00,1.399999999999999979e-05
1.450624694986776558e+04,0.000000000000000000e+00,1.609999999999999832e-05
1.262435545366870247e+04,0.000000000000000000e+00,1.849999999999999906e-05
1.096481576961835708e+04,0.000000000000000000e+00,2.129999999999999935e-05
9.532676567055958003e+03,0.000000000000000000e+00,2.449999999999999921e-05
8.281935315350034216e+03,0.000000000000000000e+00,2.820000000000000105e-05
7.208351107804659478e+03,0.000000000000000000e+00,3.240000000000000150e-05
6.278241287442768225e+03,0.000000000000000000e+00,3.720000000000000298e-05
5.456789156375490165e+03,0.000000000000000000e+00,4.279999999999999679e-05
4.746962924651848880e+03,0.000000000000000000e+00,4.920000000000000328e-05
4.126335263124929043e+03,0.000000000000000000e+00,5.660000000000000019e-05
3.587566449967296194e+03,0.000000000000000000e+00,6.509999999999999674e-05
3.122333902311109341e+03,0.000000000000000000e+00,7.480000000000000212e-05
2.715704370847337032e+03,0.000000000000000000e+00,8.600000000000000331e-05
2.361482061606379830e+03,0.000000000000000000e+00,9.890000000000000516e-05
2.048689262218166732e+03,0.000000000000000000e+00,1.140000000000000063e-04
1.782828823609701885e+03,0.000000000000000000e+00,1.310000000000000129e-04
1.557003839285806862e+03,0.000000000000000000e+00,1.499999999999999869e-04
1.350003328860525698e+03,2.739871384737945989e-03,1.730000000000000038e-04
1.173620984386286182e+03,1.179121422832831584e-02,1.990000000000000124e-04
1.024344631109083366e+03,2.737857513819358379e-02,2.280000000000000126e-04
8.880250033949467934e+02,4.833290204609386881e-02,2.629999999999999959e-04
7.733462777909635406e+02,7.150248696444011509e-02,3.020000000000000223e-04
6.730564146768617775e+02,9.315159933925298841e-02,3.469999999999999777e-04
5.853397892051905274e+02,1.094538844252167381e-01,3.989999999999999949e-04
5.088247840803289819e+02,1.171065939158482672e-01,4.589999999999999896e-04
4.423306361607404256e+02,1.144885617216848395e-01,5.280000000000000405e-04
3.847620690162618757e+02,1.013984007508677565e-01,6.070000000000000092e-04
3.345996789296145835e+02,8.042393513378161274e-02,6.980000000000000527e-04
2.912101943801383186e+02,5.509950833254700919e-02,8.019999999999999785e-04
2.533086506430271072e+02,3.059069925334024359e-02,9.219999999999999680e-04
2.203307319744065751e+02,1.198253196559410406e-02,1.059999999999999961e-03
1.914348982728450892e+02,2.449873972461382669e-03,1.219999999999999947e-03
1.668218399234792741e+02,3.386323949604451607e-03,1.399999999999999986e-03
1.450624694986776149e+02,1.180128358292125215e-02,1.610000000000000103e-03
1.262435545366870002e+02,2.281715750759347877e-02,1.850000000000000082e-03
1.096481576961835600e+02,3.005702345991462243e-02,2.129999999999999949e-03
9.532676567055959538e+01,2.835530253370840276e-02,2.449999999999999921e-03
8.281935315350034443e+01,1.888003986175541479e-02,2.820000000000000024e-03
7.208351107804661240e+01,6.738412093592919920e-03,3.239999999999999825e-03
6.278241287442767060e+01,0.000000000000000000e+00,3.720000000000000216e-03
5.456789156375489824e+01,0.000000000000000000e+00,4.279999999999999950e-03
4.746962924651849391e+01,0.000000000000000000e+00,4.919999999999999894e-03
4.126335263124929043e+01,0.000000000000000000e+00,5.660000000000000100e-03
3.587566449967296478e+01,0.000000000000000000e+00,6.510000000000000162e-03
3.122333902311109455e+01,0.000000000000000000e+00,7.479999999999999670e-03
2.715704370847336691e+01,0.000000000000000000e+00,8.600000000000000006e-03
2.361482061606380256e+01,0.000000000000000000e+00,9.889999999999999486e-03
2.048689262218166363e+01,0.000000000000000000e+00,1.140000000000000041e-02
1.782828823609701985e+01,0.000000000000000000e+00,1.310000000000000053e-02
1.557003839285806457e+01,0.000000000000000000e+00,1.499999999999999944e-02
1.350003328860526075e+01,0.000000000000000000e+00,1.729999999999999941e-02
1.173620984386286281e+01,0.000000000000000000e+00,1.990000000000000102e-02
1.024344631109083181e+01,0.000000000000000000e+00,2.280000000000000082e-02
8.880250033949467436e+00,0.000000000000000000e+00,2.630000000000000046e-02
7.733462777909634767e+00,0.000000000000000000e+00,3.020000000000000115e-02
6.730564146768616141e+00,0.000000000000000000e+00,3.470000000000000168e-02
5.853397892051903639e+00,0.000000000000000000e+00,3.989999999999999797e-02
5.088247840803288291e+00,0.000000000000000000e+00,4.590000000000000330e-02
4.423306361607404646e+00,0.000000000000000000e+00,5.279999999999999971e-02
3.847620690162619539e+00,1.289884323355130038e-05,6.069999999999999701e-02
