# d,G,gamma
5.387955755889529428e+03,0.000000000000000000e+00,4.310000000000000239e-06
4.691331173309873520e+03,0.000000000000000000e+00,4.950000000000000041e-06
4.081210774672034404e+03,0.000000000000000000e+00,5.689999999999999732e-06
3.545357146241813098e+03,0.000000000000000000e+00,6.549999999999999968e-06
3.083942803171829382e+03,0.000000000000000000e+00,7.529999999999999903e-06
2.684634602067499600e+03,0.000000000000000000e+00,8.650000000000000191e-06
2.333878322400389607e+03,0.000000000000000000e+00,9.949999999999999603e-06
2.037025377884550608e+03,9.335110803559010110e-04,1.139999999999999927e-05
1.759249189991202684e+03,4.312739780394232204e-03,1.320000000000000067e-05
1.537886709131382304e+03,1.087513271664614437e-02,1.509999999999999942e-05
1.334602833786429528e+03,2.096329388299225660e-02,1.739999999999999942e-05
1.161104465394193539e+03,3.417220430052815561e-02,2.000000000000000164e-05
1.009656056864516472e+03,4.974881360646673384e-02,2.300000000000000002e-05
8.796245949956013419e+02,6.636341125030105481e-02,2.640000000000000135e-05
7.638845167067063358e+02,8.242848565642585390e-02,3.040000000000000032e-05
6.653893784493947123e+02,9.620048778667643352e-02,3.490000000000000128e-05
5.776639131314396991e+02,1.059019474153751195e-01,4.020000000000000136e-05
5.026426257117722116e+02,1.099724899169270131e-01,4.619999999999999812e-05
4.373274822577000691e+02,1.073944796659441481e-01,5.310000000000000321e-05
3.806899886538340070e+02,9.803223191237478429e-02,6.099999999999999872e-05
3.307989929897988191e+02,8.229280090637412781e-02,7.019999999999999873e-05
2.877582318201223188e+02,6.224537908623105353e-02,8.069999999999999645e-05
2.502380313349555081e+02,4.055617179046203807e-02,9.280000000000000597e-05
2.170288720362978552e+02,2.085474608295087226e-02,1.069999999999999988e-04
1.887974740478363742e+02,6.751673162574075432e-03,1.230000000000000082e-04
1.646956688502402244e+02,0.000000000000000000e+00,1.410000000000000120e-04
1.433462302955794598e+02,0.000000000000000000e+00,1.620000000000000075e-04
1.248499425155047078e+02,0.000000000000000000e+00,1.859999999999999945e-04
1.085144360181489276e+02,0.000000000000000000e+00,2.139999999999999975e-04
9.439873702391818711e+01,0.000000000000000000e+00,2.460000000000000164e-04
8.205685267803490035e+01,0.000000000000000000e+00,2.829999999999999942e-04
7.123340278491986055e+01,0.000000000000000000e+00,3.260000000000000094e-04
6.192557148769031983e+01,0.000000000000000000e+00,3.750000000000000078e-04
5.387955755889529286e+01,0.000000000000000000e+00,4.310000000000000137e-04
4.691331173309873748e+01,0.000000000000000000e+00,4.949999999999999973e-04
4.081210774672035058e+01,0.000000000000000000e+00,5.689999999999999529e-04
3.550778181633619823e+01,0.000000000000000000e+00,6.539999999999999590e-04
3.083942803171829539e+01,0.000000000000000000e+00,7.529999999999999801e-04
2.684634602067500353e+01,0.000000000000000000e+00,8.649999999999999920e-04
2.333878322400389038e+01,0.000000000000000000e+00,9.950000000000000077e-04
2.037025377884550181e+01,0.000000000000000000e+00,1.139999999999999954e-03
1.759249189991202655e+01,0.000000000000000000e+00,1.319999999999999993e-03
1.537886709131382368e+01,0.000000000000000000e+00,1.510000000000000057e-03
1.334602833786429699e+01,0.000000000000000000e+00,1.740000000000000010e-03
1.161104465394193852e+01,0.000000000000000000e+00,2.000000000000000042e-03
1.009656056864516316e+01,0.000000000000000000e+00,2.299999999999999961e-03
8.796245949956013277e+00,0.000000000000000000e+00,2.639999999999999986e-03
7.638845167067062292e+00,0.000000000000000000e+00,3.040000000000000167e-03
6.653893784493946306e+00,0.000000000000000000e+00,3.490000000000000047e-03
5.776639131314396991e+00,0.000000000000000000e+00,4.020000000000000136e-03
5.026426257117721619e+00,0.000000000000000000e+00,4.619999999999999975e-03
4.373274822577001508e+00,0.000000000000000000e+00,5.309999999999999616e-03
3.806899886538339661e+00,0.000000000000000000e+00,6.100000000000000387e-03
3.307989929897988013e+00,0.000000000000000000e+00,7.020000000000000198e-03
2.877582318201223455e+00,0.000000000000000000e+00,8.070000000000000784e-03
2.502380313349555241e+00,0.000000000000000000e+00,9.280000000000000054e-03
2.170288720362978818e+00,0.000000000000000000e+00,1.069999999999999944e-02
1.887974740478363556e+00,0.000000000000000000e+00,1.230000000000000017e-02
1.646956688502402288e+00,0.000000000000000000e+00,1.409999999999999969e-02
1.433462302955794909e+00,0.000000000000000000e+00,1.619999999999999912e-02
1.248499425155047193e+00,0.000000000000000000e+00,1.859999999999999848e-02
1.085144360181489409e+00,0.000000000000000000e+00,2.139999999999999888e-02
9.439873702391817778e-01,0.000000000000000000e+00,2.460000000000000034e-02
8.205685267803489724e-01,0.000000000000000000e+00,2.829999999999999877e-02
7.123340278491986366e-01,0.000000000000000000e+00,3.259999999999999704e-02
6.192557148769034514e-01,0.000000000000000000e+00,3.749999999999999861e-02
5.387955755889529685e-01,0.000000000000000000e+00,4.309999999999999942e-02
4.691331173309873370e-01,0.000000000000000000e+00,4.950000000000000233e-02
4.081210774672033859e-01,0.000000000000000000e+00,5.689999999999999919e-02
3.550778181633619801e-01,0.000000000000000000e+00,6.539999999999999980e-02
3.083942803171828562e-01,0.000000000000000000e+00,7.530000000000000582e-02
2.684634602067500486e-01,0.000000000000000000e+00,8.649999999999999356e-02
2.333878322400389782e-01,0.000000000000000000e+00,9.950000000000000511e-02
2.037025377884550126e-01,0.000000000000000000e+00,1.140000000000000041e-01
1.759249189991202444e-01,0.000000000000000000e+00,1.320000000000000062e-01
1.537886709131382479e-01,0.000000000000000000e+00,1.509999999999999953e-01
1.334602833786429632e-01,0.000000000000000000e+00,1.739999999999999880e-01
1.161104465394193624e-01,0.000000000000000000e+00,2.000000000000000111e-01
1.009656056864516177e-01,0.000000000000000000e+00,2.300000000000000100e-01
8.796245949956012222e-02,0.000000000000000000e+00,2.640000000000000124e-01
7.638845167067064013e-02,0.000000000000000000e+00,3.039999999999999925e-01
6.653893784493947194e-02,0.000000000000000000e+00,3.489999999999999769e-01
5.776639131314396935e-02,0.000000000000000000e+00,4.020000000000000240e-01
5.026426257117720675e-02,0.000000000000000000e+00,4.620000000000000218e-01
4.373274822577000176e-02,0.000000000000000000e+00,5.310000000000000275e-01
3.806899886538340355e-02,0.000000000000000000e+00,6.099999999999999867e-01
3.307989929897988540e-02,0.000000000000000000e+00,7.019999999999999574e-01
2.877582318201223760e-02,0.000000000000000000e+00,8.070000000000000506e-01
2.502380313349555213e-02,0.000000000000000000e+00,9.280000000000000471e-01
2.170288720362978721e-02,0.000000000000000000e+00,1.070000000000000062e+00
1.887974740478363944e-02,0.000000000000000000e+00,1.229999999999999982e+00
1.646956688502402774e-02,0.000000000000000000e+00,1.409999999999999920e+00
1.433462302955794757e-02,0.000000000000000000e+00,1.620000000000000107e+00
1.248499425155046895e-02,0.000000000000000000e+00,1.860000000000000098e+00
1.085144360181489361e-02,0.000000000000000000e+00,2.140000000000000124e+00
9.439873702391819721e-03,0.000000000000000000e+00,2.459999999999999964e+00
8.205685267803490210e-03,0.000000000000000000e+00,2.830000000000000071e+00
7.123340278491986990e-03,0.000000000000000000e+00,3.259999999999999787e+00
6.192557148769033126e-03,0.000000000000000000e+00,3.750000000000000000e+00
5.387955755889529616e-03,0.000000000000000000e+00,4.309999999999999609e+00
